REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,0.01278429591020671
GLOBAL,MINGASINT,2022,0.011613386179743898
GLOBAL,MINGASINT,2023,0.014312260169289123
GLOBAL,MINGASINT,2024,0.019835056141684224
GLOBAL,MINGASINT,2025,0.015893130910760934
GLOBAL,MINGASINT,2026,0.022065939733485456
GLOBAL,MINGASINT,2027,0.022026522501139727
GLOBAL,MINGASINT,2028,0.021814681528244808
GLOBAL,MINGASINT,2029,0.021459442804600867
GLOBAL,MINGASINT,2030,0.016170549069548203
GLOBAL,MINGASINT,2031,0.028202099729683888
GLOBAL,MINGASINT,2032,0.023364596532757236
GLOBAL,MINGASINT,2033,0.022737682923571492
GLOBAL,MINGASINT,2034,0.022029818729018092
GLOBAL,MINGASINT,2035,0.020524897701397208
GLOBAL,MINGASINT,2036,0.02753529467224692
GLOBAL,MINGASINT,2037,0.026927169499977345
GLOBAL,MINGASINT,2038,0.024275191359275413
GLOBAL,MINGASINT,2039,0.023003259340162188
GLOBAL,MINGASINT,2040,0.021762009412428056
GLOBAL,MINGASINT,2041,0.020697915048133356
GLOBAL,MINGASINT,2042,0.019915878793284755
GLOBAL,MINGASINT,2043,0.019076697597557254
GLOBAL,MINGASINT,2044,0.01821145158548061
GLOBAL,MINGASINT,2045,0.01734512192723659
GLOBAL,MINGASINT,2046,0.016658937555895204
GLOBAL,MINGASINT,2047,0.015954167649157646
GLOBAL,MINGASINT,2048,0.01528950982242123
GLOBAL,MINGASINT,2049,0.014568201975830381
GLOBAL,MINGASINT,2050,0.01385214242510845
GLOBAL,MINOILINT,2021,0.01005520241864108
GLOBAL,MINOILINT,2022,0.010079668062022415
GLOBAL,MINOILINT,2023,0.0059854227354563866
GLOBAL,MINOILINT,2026,2.8151883372392056e-05
GLOBAL,PWRBIOKENXX01,2024,265.9491818534662
GLOBAL,PWRBIOKENXX01,2025,52.9974039927773
GLOBAL,PWRBIOKENXX01,2027,104.62257597950982
GLOBAL,PWRBIOKENXX01,2028,41.64404517873159
GLOBAL,PWRBIOKENXX01,2029,36.82844728456781
GLOBAL,PWRBIOKENXX01,2030,52.54330356935648
GLOBAL,PWRBIOKENXX01,2031,30.77055040332603
GLOBAL,PWRBIOKENXX01,2032,148.6005361682515
GLOBAL,PWRBIOKENXX01,2033,32.46916982309685
GLOBAL,PWRBIOKENXX01,2034,29.446641914995038
GLOBAL,PWRBIOKENXX01,2035,59.05627613941489
GLOBAL,PWRBIOKENXX01,2037,95.03903650222287
GLOBAL,PWRBIOKENXX01,2038,121.41016226704133
GLOBAL,PWRBIOKENXX01,2039,47.01506746344458
GLOBAL,PWRBIOKENXX01,2040,42.68030154553272
GLOBAL,PWRBIOKENXX01,2041,47.17823610861002
GLOBAL,PWRBIOKENXX01,2042,25.206547189428775
GLOBAL,PWRBIOKENXX01,2043,22.94759267632614
GLOBAL,PWRBIOKENXX01,2044,20.86144788756937
GLOBAL,PWRBIOKENXX01,2045,18.964952625062637
GLOBAL,PWRBIOKENXX01,2046,21.618334133534407
GLOBAL,PWRBIOKENXX01,2047,19.890707031477728
GLOBAL,PWRBIOKENXX01,2048,19.6980139581519
GLOBAL,PWRBIOKENXX01,2049,16.242174405359794
GLOBAL,PWRBIOKENXX01,2050,14.765613095781692
GLOBAL,PWRBIOTZAXX01,2021,159.76212809363307
GLOBAL,PWRBIOTZAXX01,2022,46.87669807426497
GLOBAL,PWRBIOTZAXX01,2023,9.102234406945199
GLOBAL,PWRBIOTZAXX01,2025,190.8770854604864
GLOBAL,PWRBIOTZAXX01,2027,196.24517557824964
GLOBAL,PWRBIOTZAXX01,2028,22.344439016974043
GLOBAL,PWRBIOTZAXX01,2029,21.354615497384746
GLOBAL,PWRBIOTZAXX01,2030,205.93489447662878
GLOBAL,PWRBIOTZAXX01,2032,241.3542459733762
GLOBAL,PWRBIOTZAXX01,2033,39.32690290682063
GLOBAL,PWRBIOTZAXX01,2034,35.61881711074293
GLOBAL,PWRBIOTZAXX01,2035,32.34568980781806
GLOBAL,PWRBIOTZAXX01,2037,62.40502867987804
GLOBAL,PWRBIOTZAXX01,2038,5.720925999189331
GLOBAL,PWRBIOTZAXX01,2039,24.84975762862734
GLOBAL,PWRBIOTZAXX01,2040,22.535723573848752
GLOBAL,PWRBIOTZAXX01,2041,24.205712403172814
GLOBAL,PWRBIOTZAXX01,2042,22.005193093792606
GLOBAL,PWRBIOTZAXX01,2043,20.004720994358443
GLOBAL,PWRBIOTZAXX01,2044,18.203250532094362
GLOBAL,PWRBIOTZAXX01,2045,16.53282726806408
GLOBAL,PWRBIOTZAXX01,2046,18.656270681211204
GLOBAL,PWRBIOTZAXX01,2047,16.960246073826855
GLOBAL,PWRBIOTZAXX01,2048,15.418405521661624
GLOBAL,PWRBIOTZAXX01,2049,14.006089367367856
GLOBAL,PWRBIOTZAXX01,2050,12.742483902199105
GLOBAL,PWRCCGTZAXX01,2023,10.235313012177189
GLOBAL,PWRCCGTZAXX01,2024,48.387421351158814
GLOBAL,PWRCCGTZAXX01,2025,7.379323268927982
GLOBAL,PWRCCGTZAXX01,2031,33.05185748791719
GLOBAL,PWRCCGTZAXX01,2036,79.94877876376577
GLOBAL,PWRCCGTZAXX01,2042,3.6049992619293154
GLOBAL,PWRCCGTZAXX01,2043,4.434022553006513
GLOBAL,PWRCCGTZAXX01,2044,4.034262554229278
GLOBAL,PWRCCGTZAXX01,2045,3.664481448766082
GLOBAL,PWRCCGTZAXX01,2046,4.1402988638438165
GLOBAL,PWRCCGTZAXX01,2047,3.764435212913398
GLOBAL,PWRCCGTZAXX01,2048,4.342430519124258
GLOBAL,PWRCCGTZAXX01,2049,3.108598310264816
GLOBAL,PWRCCGTZAXX01,2050,2.8278798332383537
GLOBAL,PWRGEOKENXX01,2021,606.0447716422482
