REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,21.700914006019644
GLOBAL,MINGASINT,2022,19.809538338616502
GLOBAL,MINGASINT,2023,25.554886779389893
GLOBAL,MINGASINT,2024,24.82948318973641
GLOBAL,MINGASINT,2025,17.051413268561507
GLOBAL,MINGASINT,2026,22.670050475934918
GLOBAL,MINGASINT,2027,22.496150866871535
GLOBAL,MINGASINT,2028,22.163305544852278
GLOBAL,MINGASINT,2029,21.705765026315444
GLOBAL,MINGASINT,2030,12.717676827521474
GLOBAL,MINGASINT,2031,31.41937622182786
GLOBAL,MINGASINT,2032,21.2808180968885
GLOBAL,MINGASINT,2033,20.631925504767356
GLOBAL,MINGASINT,2034,19.92353170501684
GLOBAL,MINGASINT,2035,17.817743868233503
GLOBAL,MINGASINT,2036,32.15993442092788
GLOBAL,MINGASINT,2037,31.475401045160165
GLOBAL,MINGASINT,2038,27.26364265627892
GLOBAL,MINGASINT,2039,25.491752582953385
GLOBAL,MINGASINT,2040,23.816792846810745
GLOBAL,MINGASINT,2041,22.34441985780713
GLOBAL,MINGASINT,2042,21.519588078167327
GLOBAL,MINGASINT,2043,20.64157377393272
GLOBAL,MINGASINT,2044,19.73649424416262
GLOBAL,MINGASINT,2045,18.824577054412945
GLOBAL,MINGASINT,2046,18.10919421597853
GLOBAL,MINGASINT,2047,17.368337717711483
GLOBAL,MINGASINT,2048,16.698441433904616
GLOBAL,MINGASINT,2049,15.928116983812638
GLOBAL,MINGASINT,2050,15.160348373598158
GLOBAL,MINOILINT,2021,9.379800713578895
GLOBAL,MINOILINT,2022,9.402623014880456
GLOBAL,MINOILINT,2023,5.583385605547314
GLOBAL,MINOILINT,2026,0.026260938840517084
GLOBAL,PWRBIOKENXX01,2021,6.435872477407748
GLOBAL,PWRBIOKENXX01,2022,5.8507931612797694
GLOBAL,PWRBIOKENXX01,2023,5.3189028738907
GLOBAL,PWRBIOKENXX01,2024,274.48919989087744
GLOBAL,PWRBIOKENXX01,2025,65.93549035577117
GLOBAL,PWRBIOKENXX01,2026,13.121221863848548
GLOBAL,PWRBIOKENXX01,2027,115.2062587807757
GLOBAL,PWRBIOKENXX01,2028,54.74304510870807
GLOBAL,PWRBIOKENXX01,2029,49.61381530832224
GLOBAL,PWRBIOKENXX01,2030,63.94558594430268
GLOBAL,PWRBIOKENXX01,2031,43.04616945720397
GLOBAL,PWRBIOKENXX01,2032,148.42762597061
GLOBAL,PWRBIOKENXX01,2033,44.29933470934155
GLOBAL,PWRBIOKENXX01,2034,40.53482251571976
GLOBAL,PWRBIOKENXX01,2035,64.95474783636755
GLOBAL,PWRBIOKENXX01,2036,14.39276628592558
GLOBAL,PWRBIOKENXX01,2037,90.39953547459183
GLOBAL,PWRBIOKENXX01,2038,110.03663444535525
GLOBAL,PWRBIOKENXX01,2039,52.26645719489529
GLOBAL,PWRBIOKENXX01,2040,47.30017692192301
GLOBAL,PWRBIOKENXX01,2041,48.554403956594356
GLOBAL,PWRBIOKENXX01,2042,32.40430490567614
GLOBAL,PWRBIOKENXX01,2043,29.193089503718312
GLOBAL,PWRBIOKENXX01,2044,26.185998539040725
GLOBAL,PWRBIOKENXX01,2045,23.390534792513968
GLOBAL,PWRBIOKENXX01,2046,22.695875101519512
GLOBAL,PWRBIOKENXX01,2047,20.06563725326339
GLOBAL,PWRBIOKENXX01,2048,17.99885156215668
GLOBAL,PWRBIOKENXX01,2049,15.15764749697414
GLOBAL,PWRBIOKENXX01,2050,12.965923850243165
GLOBAL,PWRBIOTZAXX01,2021,170.20806426987033
GLOBAL,PWRBIOTZAXX01,2022,57.68428495849649
GLOBAL,PWRBIOTZAXX01,2023,19.380130120138944
GLOBAL,PWRBIOTZAXX01,2024,9.44918061152915
GLOBAL,PWRBIOTZAXX01,2025,200.5816748633442
GLOBAL,PWRBIOTZAXX01,2026,13.718141477765776
GLOBAL,PWRBIOTZAXX01,2027,206.193898911731
GLOBAL,PWRBIOTZAXX01,2028,39.22899055554135
GLOBAL,PWRBIOTZAXX01,2029,37.11832997898153
GLOBAL,PWRBIOTZAXX01,2030,211.6271846428208
GLOBAL,PWRBIOTZAXX01,2031,20.492318418175525
GLOBAL,PWRBIOTZAXX01,2032,239.08549993994453
GLOBAL,PWRBIOTZAXX01,2033,58.0387334011778
GLOBAL,PWRBIOTZAXX01,2034,53.0118403970472
GLOBAL,PWRBIOTZAXX01,2035,48.42010123360015
GLOBAL,PWRBIOTZAXX01,2036,19.478678316301636
GLOBAL,PWRBIOTZAXX01,2037,68.41169333113015
GLOBAL,PWRBIOTZAXX01,2038,22.23313401879181
GLOBAL,PWRBIOTZAXX01,2039,34.9522941361959
GLOBAL,PWRBIOTZAXX01,2040,31.597526424802947
GLOBAL,PWRBIOTZAXX01,2041,31.175269469103426
GLOBAL,PWRBIOTZAXX01,2042,28.15761131816781
GLOBAL,PWRBIOTZAXX01,2043,25.349155837856028
GLOBAL,PWRBIOTZAXX01,2044,22.746215579768943
GLOBAL,PWRBIOTZAXX01,2045,20.308622524326964
GLOBAL,PWRBIOTZAXX01,2046,19.628082563907903
GLOBAL,PWRBIOTZAXX01,2047,17.27877227293631
GLOBAL,PWRBIOTZAXX01,2048,15.092837542364121
GLOBAL,PWRBIOTZAXX01,2049,13.05768359771756
GLOBAL,PWRBIOTZAXX01,2050,11.170144809627521
GLOBAL,PWRCCGTZAXX00,2021,4.95800546407708
GLOBAL,PWRCCGTZAXX00,2022,4.507277694615526
GLOBAL,PWRCCGTZAXX00,2023,4.097525176923206
GLOBAL,PWRCCGTZAXX00,2024,3.725022888112005
GLOBAL,PWRCCGTZAXX01,2023,10.45317998118278
GLOBAL,PWRCCGTZAXX01,2024,49.378304695702454
GLOBAL,PWRCCGTZAXX01,2025,9.20836169064216
GLOBAL,PWRCCGTZAXX01,2026,1.8520337338015924
GLOBAL,PWRCCGTZAXX01,2027,1.6836670307287203
GLOBAL,PWRCCGTZAXX01,2028,1.5306063915715638
GLOBAL,PWRCCGTZAXX01,2029,1.3914603559741487
GLOBAL,PWRCCGTZAXX01,2030,1.2649639599764988
GLOBAL,PWRCCGTZAXX01,2031,32.125000506347384
GLOBAL,PWRCCGTZAXX01,2032,2.0685971505645924
GLOBAL,PWRCCGTZAXX01,2033,1.8805428641496293
GLOBAL,PWRCCGTZAXX01,2034,1.7095844219542085
GLOBAL,PWRCCGTZAXX01,2035,1.5541676563220075
GLOBAL,PWRCCGTZAXX01,2036,68.64176229986738
GLOBAL,PWRCCGTZAXX01,2037,3.7593766512648066
GLOBAL,PWRCCGTZAXX01,2038,3.4176151375134602
GLOBAL,PWRCCGTZAXX01,2039,3.1069228522849635
GLOBAL,PWRCCGTZAXX01,2040,2.8244753202590576
GLOBAL,PWRCCGTZAXX01,2041,2.567704836599143
GLOBAL,PWRCCGTZAXX01,2042,4.659376022660176
GLOBAL,PWRCCGTZAXX01,2043,4.8939809700465995
GLOBAL,PWRCCGTZAXX01,2044,4.388692921283837
GLOBAL,PWRCCGTZAXX01,2045,3.9134622189961727
GLOBAL,PWRCCGTZAXX01,2046,3.82450064175842
GLOBAL,PWRCCGTZAXX01,2047,3.357266626362331
GLOBAL,PWRCCGTZAXX01,2048,3.1947347630958176
GLOBAL,PWRCCGTZAXX01,2049,2.5410587548575942
GLOBAL,PWRCCGTZAXX01,2050,2.1587785794879917
GLOBAL,PWRGEOKENXX01,2021,667.3703959030837
GLOBAL,PWRGEOKENXX01,2022,215.8376156113732
GLOBAL,PWRGEOKENXX01,2023,53.51459619649689
GLOBAL,PWRGEOKENXX01,2024,48.64963290590625
GLOBAL,PWRGEOKENXX01,2025,83.57867158422765
GLOBAL,PWRGEOKENXX01,2026,40.9180617679834
GLOBAL,PWRGEOKENXX01,2027,143.1413193922279
GLOBAL,PWRGEOKENXX01,2028,201.30882916786186
GLOBAL,PWRGEOKENXX01,2029,186.05746340406796
GLOBAL,PWRGEOKENXX01,2030,145.57278395981663
GLOBAL,PWRGEOKENXX01,2031,33.83349419911949
GLOBAL,PWRGEOKENXX01,2032,81.78125735273218
GLOBAL,PWRGEOKENXX01,2033,126.09452078105205
