REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,21.688129710109436
GLOBAL,MINGASINT,2022,19.79792495243676
GLOBAL,MINGASINT,2023,25.540574519220602
GLOBAL,MINGASINT,2024,24.809648133594727
GLOBAL,MINGASINT,2025,17.035520137650746
GLOBAL,MINGASINT,2026,22.64798453620143
GLOBAL,MINGASINT,2027,22.474124344370395
GLOBAL,MINGASINT,2028,22.141490863324034
GLOBAL,MINGASINT,2029,21.68430558351084
GLOBAL,MINGASINT,2030,12.701506278451927
GLOBAL,MINGASINT,2031,31.391174122098178
GLOBAL,MINGASINT,2032,21.25745350035574
GLOBAL,MINGASINT,2033,20.609187821843783
GLOBAL,MINGASINT,2034,19.90150188628782
GLOBAL,MINGASINT,2035,17.797218970532107
GLOBAL,MINGASINT,2036,32.132399126255635
GLOBAL,MINGASINT,2037,31.448473875660188
GLOBAL,MINGASINT,2038,27.239367464919642
GLOBAL,MINGASINT,2039,25.468749323613224
GLOBAL,MINGASINT,2040,23.79503083739832
GLOBAL,MINGASINT,2041,22.323721942758997
GLOBAL,MINGASINT,2042,21.499672199374043
GLOBAL,MINGASINT,2043,20.62249707633516
GLOBAL,MINGASINT,2044,19.718282792577142
GLOBAL,MINGASINT,2045,18.80723193248571
GLOBAL,MINGASINT,2046,18.092535278422634
GLOBAL,MINGASINT,2047,17.352383550062324
GLOBAL,MINGASINT,2048,16.683151924082196
GLOBAL,MINGASINT,2049,15.913548781836807
GLOBAL,MINGASINT,2050,15.14649623117305
GLOBAL,MINOILINT,2021,9.369745511160254
GLOBAL,MINOILINT,2022,9.392543346818433
GLOBAL,MINOILINT,2023,5.577400182811858
GLOBAL,MINOILINT,2026,0.02623278695714469
GLOBAL,PWRBIOKENXX01,2021,6.435872477407748
GLOBAL,PWRBIOKENXX01,2022,5.8507931612797694
GLOBAL,PWRBIOKENXX01,2023,5.3189028738907
GLOBAL,PWRBIOKENXX01,2024,13.891530375339862
GLOBAL,PWRBIOKENXX01,2025,14.433344050233405
GLOBAL,PWRBIOKENXX01,2026,13.121221863848548
