REGION,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,YEAR,VALUE
GLOBAL,SDSKENXX01,1,1,1,2042,1e-05
GLOBAL,SDSKENXX01,1,1,2,2034,1e-05
GLOBAL,SDSKENXX01,1,1,2,2036,1e-05
GLOBAL,SDSKENXX01,1,1,3,2031,1e-05
GLOBAL,SDSKENXX01,1,1,4,2032,1e-05
GLOBAL,SDSKENXX01,1,1,4,2033,1e-05
GLOBAL,SDSKENXX01,1,1,4,2035,1e-05
GLOBAL,SDSKENXX01,1,1,4,2037,1e-05
GLOBAL,SDSKENXX01,1,1,4,2038,1e-05
GLOBAL,SDSKENXX01,1,1,4,2039,1e-05
GLOBAL,SDSKENXX01,1,1,4,2040,1e-05
GLOBAL,SDSKENXX01,1,1,4,2041,1e-05
GLOBAL,SDSKENXX01,1,1,4,2043,1e-05
GLOBAL,SDSKENXX01,1,1,4,2044,1e-05
GLOBAL,SDSKENXX01,1,1,4,2045,1e-05
GLOBAL,SDSKENXX01,1,1,4,2046,1e-05
GLOBAL,SDSKENXX01,1,1,5,2031,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2032,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2033,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2034,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2035,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2036,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2037,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2038,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2039,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2040,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2041,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2042,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2043,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2044,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2045,-1e-05
GLOBAL,SDSKENXX01,1,1,5,2046,-1e-05
GLOBAL,SDSKENXX01,2,1,1,2022,9.4608e-06
GLOBAL,SDSKENXX01,2,1,1,2026,5.392e-07
GLOBAL,SDSKENXX01,2,1,2,2021,8.855561947319224e-06
GLOBAL,SDSKENXX01,2,1,2,2026,9.4608e-06
GLOBAL,SDSKENXX01,2,1,2,2029,9.4608e-06
GLOBAL,SDSKENXX01,2,1,2,2032,1e-05
GLOBAL,SDSKENXX01,2,1,2,2033,1e-05
GLOBAL,SDSKENXX01,2,1,2,2034,1e-05
GLOBAL,SDSKENXX01,2,1,2,2035,9.999999999990484e-06
GLOBAL,SDSKENXX01,2,1,2,2036,1e-05
GLOBAL,SDSKENXX01,2,1,2,2038,1e-05
GLOBAL,SDSKENXX01,2,1,2,2039,1e-05
GLOBAL,SDSKENXX01,2,1,2,2040,1e-05
GLOBAL,SDSKENXX01,2,1,2,2041,1e-05
GLOBAL,SDSKENXX01,2,1,2,2042,1e-05
GLOBAL,SDSKENXX01,2,1,2,2043,1e-05
GLOBAL,SDSKENXX01,2,1,2,2044,1e-05
GLOBAL,SDSKENXX01,2,1,2,2045,1e-05
GLOBAL,SDSKENXX01,2,1,2,2046,1e-05
GLOBAL,SDSKENXX01,2,1,3,2024,9.4608e-06
GLOBAL,SDSKENXX01,2,1,3,2025,9.4608e-06
GLOBAL,SDSKENXX01,2,1,3,2027,9.4608e-06
GLOBAL,SDSKENXX01,2,1,3,2028,9.4608e-06
GLOBAL,SDSKENXX01,2,1,3,2031,1e-05
GLOBAL,SDSKENXX01,2,1,4,2021,-8.855561947319224e-06
GLOBAL,SDSKENXX01,2,1,4,2022,-9.4608e-06
GLOBAL,SDSKENXX01,2,1,4,2024,-9.4608e-06
GLOBAL,SDSKENXX01,2,1,4,2025,-9.4608e-06
GLOBAL,SDSKENXX01,2,1,4,2026,-5.392e-07
GLOBAL,SDSKENXX01,2,1,4,2037,1e-05
GLOBAL,SDSKENXX01,2,1,5,2026,-9.4608e-06
GLOBAL,SDSKENXX01,2,1,5,2027,-9.4608e-06
GLOBAL,SDSKENXX01,2,1,5,2028,-9.4608e-06
GLOBAL,SDSKENXX01,2,1,5,2029,-9.4608e-06
GLOBAL,SDSKENXX01,2,1,5,2031,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2032,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2033,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2034,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2035,-9.99999999999054e-06
GLOBAL,SDSKENXX01,2,1,5,2036,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2037,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2038,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2039,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2040,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2041,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2042,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2043,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2044,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2045,-1e-05
GLOBAL,SDSKENXX01,2,1,5,2046,-1e-05
GLOBAL,SDSKENXX01,3,1,1,2024,9.4608e-06
GLOBAL,SDSKENXX01,3,1,1,2025,9.4608e-06
GLOBAL,SDSKENXX01,3,1,1,2026,5.392e-07
GLOBAL,SDSKENXX01,3,1,1,2027,9.4608e-06
GLOBAL,SDSKENXX01,3,1,1,2028,5.392e-07
GLOBAL,SDSKENXX01,3,1,1,2037,1e-05
GLOBAL,SDSKENXX01,3,1,1,2038,1e-05
GLOBAL,SDSKENXX01,3,1,1,2044,1e-05
GLOBAL,SDSKENXX01,3,1,1,2045,1e-05
GLOBAL,SDSKENXX01,3,1,1,2046,1e-05
GLOBAL,SDSKENXX01,3,1,2,2024,5.392e-07
GLOBAL,SDSKENXX01,3,1,2,2025,5.392e-07
