REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,12.78429591020671
GLOBAL,MINGASINT,2022,12.774724797718292
GLOBAL,MINGASINT,2023,17.31783480483984
GLOBAL,MINGASINT,2024,26.40045972458171
GLOBAL,MINGASINT,2025,23.26913296644509
GLOBAL,MINGASINT,2026,35.537416600175675
GLOBAL,MINGASINT,2027,39.021328228641615
GLOBAL,MINGASINT,2028,42.51064292514481
GLOBAL,MINGASINT,2029,46.00022146477746
GLOBAL,MINGASINT,2030,38.129308840743406
GLOBAL,MINGASINT,2031,73.14898353285591
GLOBAL,MINGASINT,2032,66.6619206991295
GLOBAL,MINGASINT,2033,71.36058930822135
GLOBAL,MINGASINT,2034,76.05290905648725
GLOBAL,MINGASINT,2035,77.94326486418646
GLOBAL,MINGASINT,2036,115.02175926396411
GLOBAL,MINGASINT,2037,123.729616451458
GLOBAL,MINGASINT,2038,122.69823338797502
GLOBAL,MINGASINT,2039,127.8962198721198
GLOBAL,MINGASINT,2040,133.0944701993938
GLOBAL,MINGASINT,2041,139.24522243746296
GLOBAL,MINGASINT,2042,147.38248092985802
GLOBAL,MINGASINT,2043,155.28956336624842
GLOBAL,MINGASINT,2044,163.0708452321791
GLOBAL,MINGASINT,2045,170.84481421256967
GLOBAL,MINGASINT,2046,180.4946897473939
GLOBAL,MINGASINT,2047,190.14458655515753
GLOBAL,MINGASINT,2048,200.4453849628239
GLOBAL,MINGASINT,2049,210.087947612108
GLOBAL,MINGASINT,2050,219.7378231469324
GLOBAL,MINOILINT,2021,10.05520241864108
GLOBAL,MINOILINT,2022,11.087634868224658
GLOBAL,MINOILINT,2023,7.242361509902227
GLOBAL,MINOILINT,2026,0.045338889690071146
GLOBAL,PWRBIOKENXX01,2024,0.16856112430807793
GLOBAL,PWRBIOKENXX01,2025,0.03694928532658345
GLOBAL,PWRBIOKENXX01,2027,0.0882596549165888
GLOBAL,PWRBIOKENXX01,2028,0.03864402997760326
GLOBAL,PWRBIOKENXX01,2029,0.03759287975660691
GLOBAL,PWRBIOKENXX01,2030,0.05899731491851249
GLOBAL,PWRBIOKENXX01,2031,0.03809588692207827
GLOBAL,PWRBIOKENXX01,2032,0.20285869487011576
GLOBAL,PWRBIOKENXX01,2033,0.048873939540230414
GLOBAL,PWRBIOKENXX01,2034,0.0488739395402302
GLOBAL,PWRBIOKENXX01,2035,0.10808005318548795
GLOBAL,PWRBIOKENXX01,2037,0.21147787185333272
GLOBAL,PWRBIOKENXX01,2038,0.29789517353152034
GLOBAL,PWRBIOKENXX01,2039,0.12720189176886187
GLOBAL,PWRBIOKENXX01,2040,0.1273311425653096
