REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,MINGASINT,GASINT,2021,1.8460235627515602
GLOBAL,MINGASINT,GASINT,2022,1.8536489816650494
GLOBAL,MINGASINT,GASINT,2023,2.6304567811362034
GLOBAL,MINGASINT,GASINT,2024,2.8106955007474834
GLOBAL,MINGASINT,GASINT,2025,2.1229573874063425
GLOBAL,MINGASINT,GASINT,2026,3.1046176613182253
GLOBAL,MINGASINT,GASINT,2027,3.388863127124267
GLOBAL,MINGASINT,GASINT,2028,3.672576021124517
GLOBAL,MINGASINT,GASINT,2029,3.956417719726257
GLOBAL,MINGASINT,GASINT,2030,2.5492036507751434
GLOBAL,MINGASINT,GASINT,2031,6.930260341714096
GLOBAL,MINGASINT,GASINT,2032,5.162331775962577
GLOBAL,MINGASINT,GASINT,2033,5.505391870407956
GLOBAL,MINGASINT,GASINT,2034,5.847980250599848
GLOBAL,MINGASINT,GASINT,2035,5.752609235973332
GLOBAL,MINGASINT,GASINT,2036,11.424799005008158
GLOBAL,MINGASINT,GASINT,2037,12.29978940555035
GLOBAL,MINGASINT,GASINT,2038,11.718925794362288
GLOBAL,MINGASINT,GASINT,2039,12.0528871370204
GLOBAL,MINGASINT,GASINT,2040,12.38689419755275
GLOBAL,MINGASINT,GASINT,2041,12.783078200618723
GLOBAL,MINGASINT,GASINT,2042,13.542329137079822
GLOBAL,MINGASINT,GASINT,2043,14.288790289033386
GLOBAL,MINGASINT,GASINT,2044,15.028512177942641
GLOBAL,MINGASINT,GASINT,2045,15.767558910397048
GLOBAL,MINGASINT,GASINT,2046,16.68521069722288
GLOBAL,MINGASINT,GASINT,2047,17.60289469076342
GLOBAL,MINGASINT,GASINT,2048,18.616401726057305
GLOBAL,MINGASINT,GASINT,2049,19.5333783564283
GLOBAL,MINGASINT,GASINT,2050,20.45103014325418
GLOBAL,MINOILINT,OILINT,2021,0.5600747747183081
GLOBAL,MINOILINT,OILINT,2022,0.6175812621601134
GLOBAL,MINOILINT,OILINT,2023,0.40339953610155405
GLOBAL,MINOILINT,OILINT,2026,0.002525376155736963
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2021,1.419403824
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2022,1.4194038239999995
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2023,1.4194038239999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2024,4.077807206451392
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2025,4.660540060747165
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2026,4.045594616265538
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2027,6.052496635119682
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2028,6.661957567619454
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2029,7.254840648527243
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2030,8.185296364094677
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2031,8.125206534395684
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2032,10.566024260163129
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2033,11.33682266768922
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2034,12.107621075215304
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2035,13.812168195099805
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2036,12.520268195099788
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2037,17.14741819509983
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2038,21.8455687335641
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2039,23.85168930686138
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2040,25.859848314322356
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2041,28.301619717137076
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2042,29.736677368382665
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2043,31.173773453791867
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2044,32.61086953920113
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2045,34.04796562461038
