REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2028,7.100822223394286
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2030,16.36731926433649
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2031,2.0156722962382543
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2032,21.127822955735123
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2033,22.669111513075833
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2034,21.155370034971845
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2035,7.824080673021446
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2036,10.232585235585704
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2037,34.287978794440775
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2038,17.4191713227949
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2039,19.094409719014838
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2040,33.007565209929815
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2041,23.713862303527662
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2042,35.96020552046202
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2043,62.33507989160548
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2044,37.9594645069768
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2045,68.0823147862635
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2046,30.279453827638275
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2047,30.130583034389627
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2048,31.361333586563514
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2049,40.772468568585246
GLOBAL,S1D1,PWRBIOKENXX01,ELCKENXX01,2050,42.179333754881526
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2028,7.100822223394286
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2030,16.36731926433649
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2031,2.0156722962382543
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2032,21.127822955735123
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2033,22.669111513075833
GLOBAL,S1D1,PWRBIOKENXX01,T01KEN,2034,21.155370034971845
