REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2028,22.438598225925944
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2030,51.720728875303315
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2031,6.369524456112884
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2032,66.763920540123
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2033,71.63439238131964
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2034,66.85096931051103
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2035,24.72409492674777
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2036,32.334969344450826
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2037,108.35001299043286
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2038,55.044581380031886
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2039,60.33833471208689
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2040,104.30390606337822
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2041,74.93580487914741
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2042,113.63424944465999
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2043,196.97885245747332
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2044,119.9519078420467
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2045,215.14011472459265
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2046,95.68307409533695
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2047,95.21264238867123
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2048,99.10181413354071
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2049,128.84100067672938
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2050,133.2866946654256
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2024,18.469627019515062
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2026,19.41968604216481
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2030,39.93885606838938
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2031,78.57942695322195
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2032,22.602364364937486
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2033,24.726977169594093
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2034,118.25341956103664
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2035,124.46993116988514
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2036,124.46993116988514
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2037,63.05196053273108
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2038,78.5557000119505
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2039,105.17831929689623
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2040,81.00472502548662
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2041,162.98934694193642
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2042,171.33131555611425
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2043,86.76884500340599
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2044,99.96970875741889
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2045,96.25357067193161
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2046,110.5936737313971
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2047,108.02124255648077
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2048,122.36134561594601
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2049,119.7844468359105
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2050,125.66828277818468
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2021,27.27785012165949
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2022,35.695159112212274
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2023,29.091852488500905
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2024,32.08140264269139
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2025,33.39606087238774
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2026,36.32705391873482
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2027,38.42504708566995
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2028,33.80919187776561
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2029,45.762341566122174
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2030,39.93209682691945
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2031,48.782009654110695
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2032,44.19309782584418
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2033,44.35902054067982
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2034,52.43861286276396
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2035,61.04424645032595
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2036,61.04424645032595
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2037,40.053651251209374
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2038,61.57527611851569
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2039,64.54466353803424
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2040,67.52065106101969
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2041,71.26056543922155
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2042,75.9070382798847
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2043,52.85790796780519
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2044,85.21318416814483
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2045,49.076703511353365
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2046,95.70074857697124
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2047,101.51934014513446
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2048,109.10977369995322
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2049,114.94426516464968
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2050,120.77875662934603
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2021,19.62733184600164
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2022,22.364558123373904
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2023,25.87079727127702
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2024,46.37168168538262
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2025,56.40716732066804
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2026,58.27240514764719
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2027,63.67750793319389
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2028,68.7356418336283
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2029,74.04667435893933
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2030,70.10976177184868
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2031,61.16300075441176
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2032,84.56503611180561
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2033,90.51912090074872
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2034,69.0164890989892
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2035,73.74177544823502
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2036,79.53810194664977
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2037,105.6826172645692
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2038,112.9496366640308
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2039,108.45058951634918
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2040,125.95861190971148
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2041,110.44721378922463
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2042,114.51130701560916
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2043,149.01405077775237
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2044,156.70644037180188
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2045,164.39158666114886
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2046,173.93101895433432
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2047,183.4704512475201
GLOBAL,S1D1,PWRGEOTZAXX01,GEOTZAXX,2048,193.00988354070563
