REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D2,0.609244637473175
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D3,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D4,1.9996805878957964
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D5,6.048949799448543
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D6,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D5,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S3D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D6,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D2,0.030282578733965577
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D3,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D4,2.052734870257775
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D5,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D1,0.16339136516756902
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D5,6.6945257642852924
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S3D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D2,4.7465359617991005
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D3,1.82025955956069
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D4,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D5,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S2D3,6.052202431983697
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S2D4,5.25884147957294
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S2D5,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S3D6,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S3D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S3D4,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S1D2,4.627472565824897
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S1D3,12.412424297024899
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S1D4,6.836183832379276
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S1D5,10.071243843259273
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S2D6,25.766588227127365
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S2D2,25.766588227127365
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S2D3,25.766588227127365
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S2D4,25.766588227127365
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S2D5,25.766588227127365
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D6,3.7504476448333004
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D2,12.672320171189318
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D4,25.766588227127365
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D5,25.766588227127365
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S1D6,29.448723439234232
