REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2024,93.38069153142607
GLOBAL,PWRBIOKENXX01,2025,26.091352880287527
GLOBAL,PWRBIOKENXX01,2027,85.63003263475635
GLOBAL,PWRBIOKENXX01,2028,41.91023257141872
GLOBAL,PWRBIOKENXX01,2029,44.67697288629601
GLOBAL,PWRBIOKENXX01,2030,75.6886656916015
GLOBAL,PWRBIOKENXX01,2031,52.02161626708306
GLOBAL,PWRBIOKENXX01,2032,292.1148134679802
GLOBAL,PWRBIOKENXX01,2033,73.6539981999706
GLOBAL,PWRBIOKENXX01,2034,76.60104754483197
GLOBAL,PWRBIOKENXX01,2035,175.25335018049984
GLOBAL,PWRBIOKENXX01,2037,362.4332967816387
GLOBAL,PWRBIOKENXX01,2038,522.1792315308397
GLOBAL,PWRBIOKENXX01,2039,227.417805552719
GLOBAL,PWRBIOKENXX01,2040,231.6224905593202
GLOBAL,PWRBIOKENXX01,2041,286.6402849708501
GLOBAL,PWRBIOKENXX01,2042,171.13574416001154
GLOBAL,PWRBIOKENXX01,2043,173.8130980860022
GLOBAL,PWRBIOKENXX01,2044,176.02606479537857
GLOBAL,PWRBIOKENXX01,2045,178.03785271298867
GLOBAL,PWRBIOKENXX01,2046,225.53504641816355
GLOBAL,PWRBIOKENXX01,2047,230.37256950870292
GLOBAL,PWRBIOKENXX01,2048,253.04444572256017
GLOBAL,PWRBIOKENXX01,2049,231.2380362426662
GLOBAL,PWRBIOKENXX01,2050,232.804361379857
GLOBAL,PWRBIOTZAXX01,2022,4.972644892283718
GLOBAL,PWRBIOTZAXX01,2023,2.0276721849468142
GLOBAL,PWRBIOTZAXX01,2025,93.97142158489648
GLOBAL,PWRBIOTZAXX01,2027,160.62002518911544
GLOBAL,PWRBIOTZAXX01,2028,22.487263949985657
GLOBAL,PWRBIOTZAXX01,2029,25.90550642013391
GLOBAL,PWRBIOTZAXX01,2030,296.64936011688405
GLOBAL,PWRBIOTZAXX01,2032,474.4474842432016
GLOBAL,PWRBIOTZAXX01,2033,89.21027706254776
GLOBAL,PWRBIOTZAXX01,2034,92.65704085603384
GLOBAL,PWRBIOTZAXX01,2035,95.98794359023273
GLOBAL,PWRBIOTZAXX01,2037,237.98284486682385
GLOBAL,PWRBIOTZAXX01,2038,24.60542582367052
GLOBAL,PWRBIOTZAXX01,2039,120.20140889542232
GLOBAL,PWRBIOTZAXX01,2040,122.29952066206944
GLOBAL,PWRBIOTZAXX01,2041,147.06637792042525
GLOBAL,PWRBIOTZAXX01,2042,149.4006722614628
GLOBAL,PWRBIOTZAXX01,2043,151.52275802605917
GLOBAL,PWRBIOTZAXX01,2044,153.59655642877277
GLOBAL,PWRBIOTZAXX01,2045,155.20571679103543
GLOBAL,PWRBIOTZAXX01,2046,194.63307616981865
GLOBAL,PWRBIOTZAXX01,2047,196.4322063234929
GLOBAL,PWRBIOTZAXX01,2048,198.06777919049537
GLOBAL,PWRBIOTZAXX01,2049,199.40314147105025
GLOBAL,PWRBIOTZAXX01,2050,200.90637672824133
GLOBAL,PWRCCGTZAXX01,2023,2.280084050920535
GLOBAL,PWRCCGTZAXX01,2024,16.989903242805624
GLOBAL,PWRCCGTZAXX01,2025,3.6329426145770514
GLOBAL,PWRCCGTZAXX01,2031,55.87846251085871
GLOBAL,PWRCCGTZAXX01,2036,269.4594417544821
GLOBAL,PWRCCGTZAXX01,2042,24.475554971896443
GLOBAL,PWRCCGTZAXX01,2043,33.584838627380385
GLOBAL,PWRCCGTZAXX01,2044,34.04055967733088
GLOBAL,PWRCCGTZAXX01,2045,34.401162045757495
GLOBAL,PWRCCGTZAXX01,2046,43.19400795057568
GLOBAL,PWRCCGTZAXX01,2047,43.599385953223866
GLOBAL,PWRCCGTZAXX01,2048,55.78369099214628
GLOBAL,PWRCCGTZAXX01,2049,44.256769493603045
GLOBAL,PWRCCGTZAXX01,2050,44.58621219217173
GLOBAL,PWRGEOKENXX01,2022,16.753272361852716
GLOBAL,PWRGEOKENXX01,2025,19.5392296848626
GLOBAL,PWRGEOKENXX01,2027,89.13331319188077
GLOBAL,PWRGEOKENXX01,2028,173.16878331500263
GLOBAL,PWRGEOKENXX01,2029,192.0818255725393
GLOBAL,PWRGEOKENXX01,2030,169.6406423416195
GLOBAL,PWRGEOKENXX01,2032,111.16030197859372
GLOBAL,PWRGEOKENXX01,2033,248.9393129119212
GLOBAL,PWRGEOKENXX01,2034,258.6179883301502
GLOBAL,PWRGEOKENXX01,2035,206.68592941473725
GLOBAL,PWRGEOKENXX01,2038,40.40640330842024
GLOBAL,PWRGEOKENXX01,2039,230.18957190240317
GLOBAL,PWRGEOKENXX01,2040,234.46323909900164
GLOBAL,PWRGEOKENXX01,2041,299.88511389167775
GLOBAL,PWRGEOKENXX01,2042,378.4912177949501
GLOBAL,PWRGEOKENXX01,2043,384.41256960191726
GLOBAL,PWRGEOKENXX01,2044,389.3068625439403
GLOBAL,PWRGEOKENXX01,2045,393.756219763968
GLOBAL,PWRGEOKENXX01,2046,498.80306883427846
GLOBAL,PWRGEOKENXX01,2047,502.04197471450135
GLOBAL,PWRGEOKENXX01,2048,660.373863436989
GLOBAL,PWRGEOKENXX01,2049,511.4160479307631
GLOBAL,PWRGEOKENXX01,2050,514.8802003879006
GLOBAL,PWRGEOTZAXX01,2022,26.30429587773297
GLOBAL,PWRGEOTZAXX01,2023,69.69857218010971
GLOBAL,PWRGEOTZAXX01,2024,736.4256849219398
GLOBAL,PWRGEOTZAXX01,2025,117.6847885923325
GLOBAL,PWRGEOTZAXX01,2027,47.57797498438473
GLOBAL,PWRGEOTZAXX01,2028,271.3265531390647
GLOBAL,PWRGEOTZAXX01,2029,295.54385775948134
GLOBAL,PWRGEOTZAXX01,2030,169.77730893729256
GLOBAL,PWRGEOTZAXX01,2032,223.5707967581454
GLOBAL,PWRGEOTZAXX01,2033,391.6545939568375
GLOBAL,PWRGEOTZAXX01,2034,406.343787041828
GLOBAL,PWRGEOTZAXX01,2035,420.49026532047463
GLOBAL,PWRGEOTZAXX01,2037,243.03396019280817
GLOBAL,PWRGEOTZAXX01,2038,552.9523759110256
GLOBAL,PWRGEOTZAXX01,2039,504.2337054114863
GLOBAL,PWRGEOTZAXX01,2040,512.4561930960682
GLOBAL,PWRGEOTZAXX01,2041,616.2336185255363
GLOBAL,PWRGEOTZAXX01,2042,626.0147164816183
GLOBAL,PWRGEOTZAXX01,2043,634.9066237144089
GLOBAL,PWRGEOTZAXX01,2044,643.5961985300406
GLOBAL,PWRGEOTZAXX01,2045,650.3388594076987
GLOBAL,PWRGEOTZAXX01,2046,815.5463302276617
