REGION,STORAGE,YEAR,VALUE
GLOBAL,SDSKENXX01,2021,1e-05
GLOBAL,SDSKENXX01,2022,1e-05
GLOBAL,SDSKENXX01,2023,1e-05
GLOBAL,SDSKENXX01,2024,1e-05
GLOBAL,SDSKENXX01,2025,1e-05
GLOBAL,SDSKENXX01,2026,1e-05
GLOBAL,SDSKENXX01,2027,1e-05
GLOBAL,SDSKENXX01,2028,1e-05
GLOBAL,SDSKENXX01,2029,1e-05
GLOBAL,SDSKENXX01,2030,1e-05
GLOBAL,SDSKENXX01,2031,1e-05
GLOBAL,SDSKENXX01,2032,1e-05
GLOBAL,SDSKENXX01,2033,1e-05
GLOBAL,SDSKENXX01,2034,1e-05
GLOBAL,SDSKENXX01,2035,1e-05
GLOBAL,SDSKENXX01,2036,1e-05
GLOBAL,SDSKENXX01,2037,1e-05
GLOBAL,SDSKENXX01,2038,1e-05
GLOBAL,SDSKENXX01,2039,1e-05
GLOBAL,SDSKENXX01,2040,1e-05
GLOBAL,SDSKENXX01,2041,1e-05
GLOBAL,SDSKENXX01,2042,1e-05
GLOBAL,SDSKENXX01,2043,1e-05
GLOBAL,SDSKENXX01,2044,1e-05
GLOBAL,SDSKENXX01,2045,1e-05
GLOBAL,SDSKENXX01,2046,1e-05
