REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D1,PWRGEOKENXX01,1,2021,1.4948261866669401
GLOBAL,S1D1,PWRGEOTZAXX01,1,2021,1.0755777851608899
GLOBAL,S1D1,PWRHYDKENXX01,1,2021,0.670550643879552
GLOBAL,S1D1,PWRHYDTZAXX01,1,2021,0.5538872308273916
GLOBAL,S1D1,PWRSPVKENXX01,1,2021,0.0123944553216
GLOBAL,S1D1,PWRTRNKENXX,1,2021,2.3
GLOBAL,S1D1,PWRTRNTZAXX,1,2021,1.6294650159882815
GLOBAL,S1D1,PWRWONKENXX01,1,2021,0.09383563542528
GLOBAL,S1D1,RNWGEOKENXX,1,2021,1.4948261866669401
GLOBAL,S1D1,RNWGEOTZAXX,1,2021,1.0755777851608899
GLOBAL,S1D1,RNWHYDKENXX,1,2021,0.670550643879552
GLOBAL,S1D1,RNWHYDTZAXX,1,2021,0.5538872308273916
GLOBAL,S1D1,RNWSPVKENXX,1,2021,0.0123944553216
GLOBAL,S1D1,RNWWONKENXX,1,2021,0.09383563542528
GLOBAL,S1D1,TRNKENXXTZAXX,2,2021,0.02946501598828137
GLOBAL,S1D1,PWRGEOKENXX01,1,2022,1.9560947193492326
GLOBAL,S1D1,PWRGEOTZAXX01,1,2022,1.22557778516089
GLOBAL,S1D1,PWRHYDKENXX01,1,2022,0.3974839032945396
GLOBAL,S1D1,PWRHYDTZAXX01,1,2022,0.5538872308273916
GLOBAL,S1D1,PWRSPVKENXX01,1,2022,0.0180282986496
GLOBAL,S1D1,PWRTRNKENXX,1,2022,2.4
GLOBAL,S1D1,PWRTRNTZAXX,1,2022,1.7794650159882814
GLOBAL,S1D1,RNWGEOKENXX,1,2022,1.9560947193492326
GLOBAL,S1D1,RNWGEOTZAXX,1,2022,1.22557778516089
GLOBAL,S1D1,RNWHYDKENXX,1,2022,0.3974839032945396
GLOBAL,S1D1,RNWHYDTZAXX,1,2022,0.5538872308273916
GLOBAL,S1D1,RNWSPVKENXX,1,2022,0.0180282986496
GLOBAL,S1D1,TRNKENXXTZAXX,2,2022,0.02946501598828137
GLOBAL,S1D1,PWRGEOKENXX01,1,2023,1.5942335163698496
GLOBAL,S1D1,PWRGEOTZAXX01,1,2023,1.4177196904659808
GLOBAL,S1D1,PWRHYDKENXX01,1,2023,0.670550643879552
GLOBAL,S1D1,PWRHYDTZAXX01,1,2023,0.5538872308273916
