REGION,YEAR,VALUE
GLOBAL,2021,3323.9751687021394
GLOBAL,2022,732.2889536281641
GLOBAL,2023,588.7993034554501
GLOBAL,2024,3236.5115353117167
GLOBAL,2025,885.6920933730869
GLOBAL,2026,2847.037118448433
GLOBAL,2027,1055.7478656700982
GLOBAL,2028,970.7568655437129
GLOBAL,2029,891.5977132184922
GLOBAL,2030,880.871022474318
GLOBAL,2031,1580.0156950244327
GLOBAL,2032,971.5948438955098
GLOBAL,2033,750.0700834860356
GLOBAL,2034,678.8125847277659
GLOBAL,2035,620.281349572913
GLOBAL,2036,1111.471641313572
GLOBAL,2037,570.3139107565837
GLOBAL,2038,555.1812522618684
GLOBAL,2039,489.5262746241199
GLOBAL,2040,442.92484169581604
GLOBAL,2041,437.9824974204542
GLOBAL,2042,394.46363490329406
GLOBAL,2043,356.2078212155725
GLOBAL,2044,314.5286383466955
GLOBAL,2045,289.3184122225925
GLOBAL,2046,270.91759014042617
GLOBAL,2047,237.0091985183122
GLOBAL,2048,208.24954585593764
GLOBAL,2049,175.55004230754773
GLOBAL,2050,148.45684744443292
