REGION,TECHNOLOGY,VALUE
GLOBAL,MINGASINT,281.3165137367245
GLOBAL,MINOILINT,1.5835809491357127
GLOBAL,PWRBIOKENXX01,556.1511238811863
GLOBAL,PWRBIOTZAXX01,544.8029174390313
GLOBAL,PWRCCGTZAXX00,3.0815881047655402
GLOBAL,PWRCCGTZAXX01,78.77931953253477
GLOBAL,PWRGEOKENXX01,1730.1469996147039
GLOBAL,PWRGEOTZAXX01,2974.956738668593
GLOBAL,PWRHYDKENXX01,335.42406529723496
GLOBAL,PWRHYDTZAXX01,223.9526011837593
GLOBAL,PWROCGTZAXX00,2.9515702649782085
GLOBAL,PWROCGTZAXX01,37.7709033999282
GLOBAL,PWROILKENXX01,0.5696334349409039
GLOBAL,PWRSDSKENXX01,0.14560705608575597
GLOBAL,PWRSPVKENXX01,545.442391959523
GLOBAL,PWRSPVTZAXX01,807.7974999999999
GLOBAL,PWRTRNKENXX,3223.732855632511
GLOBAL,PWRTRNTZAXX,4681.22667833819
GLOBAL,PWRWONKENXX01,49.5083277938811
GLOBAL,RNWBIOKENXX,1757.437551464549
GLOBAL,RNWBIOTZAXX,1814.1937150719743
GLOBAL,RNWGEOKENXX,1730.1469996147039
GLOBAL,RNWGEOTZAXX,2974.956738668593
GLOBAL,RNWHYDKENXX,335.42406529723496
GLOBAL,RNWHYDTZAXX,223.9526011837593
GLOBAL,RNWSPVKENXX,545.442391959523
GLOBAL,RNWSPVTZAXX,807.7974999999999
GLOBAL,RNWWONKENXX,49.5083277938811
GLOBAL,TRNKENXXTZAXX,14.149533970701698
