REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2028,1.2296351827807417
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2030,2.8342959423666216
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2031,0.34904994019498603
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2032,3.6586628455987404
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2033,3.9255647024963167
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2034,3.663433118216005
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2035,1.3548804019857779
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2036,1.7719563200759054
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2037,5.937580711875721
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2038,3.016443059625747
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2039,3.306540742222362
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2040,5.7158540522731265
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2041,4.106482107377278
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2042,6.227156869567367
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2043,10.794441114669539
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2044,6.573364549744159
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2045,11.789678286907678
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2046,5.243432460424465
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2047,5.217652802899184
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2048,5.430779414518032
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2049,7.06048683708477
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2050,7.304110867665324
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2024,1.0121355606694256
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2026,1.0641987951106315
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2030,2.1886493125477378
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2031,4.306152597036563
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2032,1.2386095671985742
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2033,1.3550383488937563
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2034,6.480287391944808
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2035,6.820952228109706
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2036,6.820952228109706
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2037,3.4552474371936635
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2038,4.304852360654888
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2039,5.763771897469914
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2040,4.439058931396667
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2041,8.931816212418116
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2042,9.38895609247506
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2043,4.754932706186648
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2044,5.478340039906555
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2045,5.274695672821853
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2046,6.060533320480562
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2047,5.919564092095147
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2048,6.7054017397538415
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2049,6.564187686607895
GLOBAL,S1D1,PWRBIOTZAXX01,BIOTZAXX,2050,6.88662189624452
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2021,1.4948261866669401
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2022,1.9560947193492326
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2023,1.5942335163698496
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2024,1.758060864819488
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2025,1.8301041358068484
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2026,1.990722554746668
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2027,2.1056925802947135
