REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
GLOBAL,PWRHYDKENXX01,S1D1,2021,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2022,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2023,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2024,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2025,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2026,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2027,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2028,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2029,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2030,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2031,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2032,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2033,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2034,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2035,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2036,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2037,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2038,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2039,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2040,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2041,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2042,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2043,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2044,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2045,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2046,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2047,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2048,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2049,0.4733
GLOBAL,PWRHYDKENXX01,S1D1,2050,0.4733
GLOBAL,PWRHYDTZAXX01,S1D1,2021,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2022,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2023,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2024,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2025,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2026,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2027,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2028,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2029,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2030,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2031,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2032,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2033,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2034,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2035,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2036,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2037,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2038,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2039,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2040,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2041,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2042,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2043,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2044,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2045,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2046,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2047,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2048,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2049,0.7139
GLOBAL,PWRHYDTZAXX01,S1D1,2050,0.7139
GLOBAL,PWRHYDKENXX01,S1D2,2021,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2022,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2023,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2024,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2025,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2026,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2027,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2028,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2029,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2030,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2031,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2032,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2033,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2034,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2035,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2036,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2037,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2038,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2039,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2040,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2041,0.4733
GLOBAL,PWRHYDKENXX01,S1D2,2042,0.4733
