REGION,YEAR,EMISSION,VALUE
GLOBAL,2021,CO2KEN,0.0
GLOBAL,2022,CO2KEN,0.0
GLOBAL,2023,CO2KEN,0.17
GLOBAL,2024,CO2KEN,0.46
GLOBAL,2025,CO2KEN,0.74
GLOBAL,2026,CO2KEN,1.07
GLOBAL,2027,CO2KEN,1.35
GLOBAL,2028,CO2KEN,1.59
GLOBAL,2029,CO2KEN,1.82
GLOBAL,2030,CO2KEN,2.13
GLOBAL,2031,CO2KEN,2.45
GLOBAL,2032,CO2KEN,1.46
GLOBAL,2033,CO2KEN,0.0
GLOBAL,2034,CO2KEN,9.55
GLOBAL,2035,CO2KEN,12.81
GLOBAL,2036,CO2KEN,18.09
GLOBAL,2037,CO2KEN,22.81
GLOBAL,2038,CO2KEN,27.05
GLOBAL,2039,CO2KEN,30.89
GLOBAL,2040,CO2KEN,34.39
GLOBAL,2041,CO2KEN,38.3
GLOBAL,2042,CO2KEN,41.82
GLOBAL,2043,CO2KEN,45.0
GLOBAL,2044,CO2KEN,47.88
GLOBAL,2045,CO2KEN,53.82
GLOBAL,2046,CO2KEN,62.87
GLOBAL,2047,CO2KEN,65.09
GLOBAL,2048,CO2KEN,68.52
GLOBAL,2049,CO2KEN,70.29
GLOBAL,2050,CO2KEN,71.91
GLOBAL,2021,CO2TZA,36.38
GLOBAL,2022,CO2TZA,34.84
GLOBAL,2023,CO2TZA,33.96
GLOBAL,2024,CO2TZA,34.07
GLOBAL,2025,CO2TZA,33.88
GLOBAL,2026,CO2TZA,34.08
GLOBAL,2027,CO2TZA,34.24
GLOBAL,2028,CO2TZA,34.4
GLOBAL,2029,CO2TZA,34.54
GLOBAL,2030,CO2TZA,35.52
GLOBAL,2031,CO2TZA,35.78
GLOBAL,2032,CO2TZA,39.36
GLOBAL,2033,CO2TZA,37.38
GLOBAL,2034,CO2TZA,37.38
GLOBAL,2035,CO2TZA,37.38
GLOBAL,2036,CO2TZA,37.38
GLOBAL,2037,CO2TZA,37.38
GLOBAL,2038,CO2TZA,37.38
GLOBAL,2039,CO2TZA,37.38
GLOBAL,2040,CO2TZA,37.38
GLOBAL,2041,CO2TZA,37.38
GLOBAL,2042,CO2TZA,37.38
GLOBAL,2043,CO2TZA,37.38
GLOBAL,2044,CO2TZA,37.38
GLOBAL,2045,CO2TZA,37.38
GLOBAL,2046,CO2TZA,37.38
GLOBAL,2047,CO2TZA,37.38
GLOBAL,2048,CO2TZA,37.38
GLOBAL,2049,CO2TZA,37.38
GLOBAL,2050,CO2TZA,37.38
