REGION,COUNTRY,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,KEN,2021,100.0,100.0,0.0
GLOBAL,KEN,2022,100.0,100.0,0.0
GLOBAL,KEN,2023,100.0,100.0,0.0
GLOBAL,KEN,2024,99.9,99.9,0.1
GLOBAL,KEN,2025,99.8,99.8,0.2
GLOBAL,KEN,2026,99.7,99.7,0.3
GLOBAL,KEN,2027,99.6,99.6,0.4
GLOBAL,KEN,2028,99.6,99.6,0.4
GLOBAL,KEN,2029,99.5,99.5,0.5
GLOBAL,KEN,2030,99.5,99.5,0.5
GLOBAL,KEN,2031,99.4,99.4,0.6
GLOBAL,KEN,2032,99.6,99.6,0.4
GLOBAL,KEN,2033,100.0,100.0,0.0
GLOBAL,KEN,2034,97.4,97.4,2.6
GLOBAL,KEN,2035,96.5,96.5,3.5
GLOBAL,KEN,2036,95.0,95.0,5.0
GLOBAL,KEN,2037,93.7,93.7,6.3
GLOBAL,KEN,2038,92.5,92.5,7.5
GLOBAL,KEN,2039,91.5,91.5,8.5
GLOBAL,KEN,2040,90.5,90.5,9.5
GLOBAL,KEN,2041,89.4,89.4,10.6
GLOBAL,KEN,2042,88.5,88.5,11.5
GLOBAL,KEN,2043,87.6,87.6,12.4
GLOBAL,KEN,2044,86.8,86.8,13.2
GLOBAL,KEN,2045,85.1,85.1,14.9
GLOBAL,KEN,2046,82.6,82.6,17.4
GLOBAL,KEN,2047,82.0,82.0,18.0
GLOBAL,KEN,2048,81.1,81.1,18.9
GLOBAL,KEN,2049,80.6,80.6,19.4
GLOBAL,KEN,2050,80.1,80.1,19.9
GLOBAL,TZA,2021,90.9,90.9,9.1
GLOBAL,TZA,2022,90.8,90.8,9.2
GLOBAL,TZA,2023,90.7,90.7,9.3
GLOBAL,TZA,2024,90.7,90.7,9.3
GLOBAL,TZA,2025,90.6,90.6,9.4
GLOBAL,TZA,2026,90.6,90.6,9.4
GLOBAL,TZA,2027,90.5,90.5,9.5
GLOBAL,TZA,2028,90.5,90.5,9.5
GLOBAL,TZA,2029,90.5,90.5,9.5
GLOBAL,TZA,2030,90.2,90.2,9.8
GLOBAL,TZA,2031,90.1,90.1,9.9
GLOBAL,TZA,2032,89.1,89.1,10.9
GLOBAL,TZA,2033,89.7,89.7,10.3
GLOBAL,TZA,2034,89.7,89.7,10.3
GLOBAL,TZA,2035,89.7,89.7,10.3
GLOBAL,TZA,2036,89.7,89.7,10.3
GLOBAL,TZA,2037,89.7,89.7,10.3
GLOBAL,TZA,2038,89.7,89.7,10.3
GLOBAL,TZA,2039,89.7,89.7,10.3
GLOBAL,TZA,2040,89.7,89.7,10.3
GLOBAL,TZA,2041,89.7,89.7,10.3
GLOBAL,TZA,2042,89.7,89.7,10.3
GLOBAL,TZA,2043,89.7,89.7,10.3
GLOBAL,TZA,2044,89.7,89.7,10.3
GLOBAL,TZA,2045,89.7,89.7,10.3
GLOBAL,TZA,2046,89.7,89.7,10.3
GLOBAL,TZA,2047,89.7,89.7,10.3
GLOBAL,TZA,2048,89.7,89.7,10.3
GLOBAL,TZA,2049,89.7,89.7,10.3
GLOBAL,TZA,2050,89.7,89.7,10.3
