REGION,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,2021,94.7,94.7,5.3
GLOBAL,2022,94.6,94.6,5.4
GLOBAL,2023,94.6,94.6,5.4
GLOBAL,2024,94.5,94.5,5.5
GLOBAL,2025,94.4,94.4,5.6
GLOBAL,2026,94.3,94.3,5.7
GLOBAL,2027,94.3,94.3,5.7
GLOBAL,2028,94.2,94.2,5.8
GLOBAL,2029,94.2,94.2,5.8
GLOBAL,2030,94.0,94.0,6.0
GLOBAL,2031,93.9,93.9,6.1
GLOBAL,2032,93.4,93.4,6.6
GLOBAL,2033,93.9,93.9,6.1
GLOBAL,2034,92.8,92.8,7.2
GLOBAL,2035,92.4,92.4,7.6
GLOBAL,2036,91.8,91.8,8.2
GLOBAL,2037,91.3,91.3,8.7
GLOBAL,2038,90.8,90.8,9.2
GLOBAL,2039,90.4,90.4,9.6
GLOBAL,2040,90.0,90.0,10.0
GLOBAL,2041,89.6,89.6,10.4
GLOBAL,2042,89.2,89.2,10.8
GLOBAL,2043,88.8,88.8,11.2
GLOBAL,2044,88.5,88.5,11.5
GLOBAL,2045,87.9,87.9,12.1
GLOBAL,2046,86.8,86.8,13.2
GLOBAL,2047,86.6,86.6,13.4
GLOBAL,2048,86.2,86.2,13.8
GLOBAL,2049,86.0,86.0,14.0
GLOBAL,2050,85.8,85.8,14.2
