REGION,NODE,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,KENXX,2021,100.0,100.0,0.0
GLOBAL,KENXX,2022,100.0,100.0,0.0
GLOBAL,KENXX,2023,100.0,100.0,0.0
GLOBAL,KENXX,2024,99.9,99.9,0.1
GLOBAL,KENXX,2025,99.8,99.8,0.2
GLOBAL,KENXX,2026,99.7,99.7,0.3
GLOBAL,KENXX,2027,99.6,99.6,0.4
GLOBAL,KENXX,2028,99.6,99.6,0.4
GLOBAL,KENXX,2029,99.5,99.5,0.5
GLOBAL,KENXX,2030,99.5,99.5,0.5
GLOBAL,KENXX,2031,99.4,99.4,0.6
GLOBAL,KENXX,2032,99.6,99.6,0.4
GLOBAL,KENXX,2033,100.0,100.0,0.0
GLOBAL,KENXX,2034,97.4,97.4,2.6
GLOBAL,KENXX,2035,96.5,96.5,3.5
GLOBAL,KENXX,2036,95.0,95.0,5.0
GLOBAL,KENXX,2037,93.7,93.7,6.3
GLOBAL,KENXX,2038,92.5,92.5,7.5
GLOBAL,KENXX,2039,91.5,91.5,8.5
GLOBAL,KENXX,2040,90.5,90.5,9.5
GLOBAL,KENXX,2041,89.4,89.4,10.6
GLOBAL,KENXX,2042,88.5,88.5,11.5
GLOBAL,KENXX,2043,87.6,87.6,12.4
GLOBAL,KENXX,2044,86.8,86.8,13.2
GLOBAL,KENXX,2045,85.1,85.1,14.9
GLOBAL,KENXX,2046,82.6,82.6,17.4
GLOBAL,KENXX,2047,82.0,82.0,18.0
GLOBAL,KENXX,2048,81.1,81.1,18.9
GLOBAL,KENXX,2049,80.6,80.6,19.4
GLOBAL,KENXX,2050,80.1,80.1,19.9
GLOBAL,TZAXX,2021,90.9,90.9,9.1
GLOBAL,TZAXX,2022,90.8,90.8,9.2
GLOBAL,TZAXX,2023,90.7,90.7,9.3
GLOBAL,TZAXX,2024,90.7,90.7,9.3
GLOBAL,TZAXX,2025,90.6,90.6,9.4
GLOBAL,TZAXX,2026,90.6,90.6,9.4
GLOBAL,TZAXX,2027,90.5,90.5,9.5
GLOBAL,TZAXX,2028,90.5,90.5,9.5
GLOBAL,TZAXX,2029,90.5,90.5,9.5
GLOBAL,TZAXX,2030,90.2,90.2,9.8
GLOBAL,TZAXX,2031,90.1,90.1,9.9
GLOBAL,TZAXX,2032,89.1,89.1,10.9
GLOBAL,TZAXX,2033,89.7,89.7,10.3
GLOBAL,TZAXX,2034,89.7,89.7,10.3
GLOBAL,TZAXX,2035,89.7,89.7,10.3
GLOBAL,TZAXX,2036,89.7,89.7,10.3
GLOBAL,TZAXX,2037,89.7,89.7,10.3
GLOBAL,TZAXX,2038,89.7,89.7,10.3
GLOBAL,TZAXX,2039,89.7,89.7,10.3
GLOBAL,TZAXX,2040,89.7,89.7,10.3
GLOBAL,TZAXX,2041,89.7,89.7,10.3
GLOBAL,TZAXX,2042,89.7,89.7,10.3
GLOBAL,TZAXX,2043,89.7,89.7,10.3
GLOBAL,TZAXX,2044,89.7,89.7,10.3
GLOBAL,TZAXX,2045,89.7,89.7,10.3
GLOBAL,TZAXX,2046,89.7,89.7,10.3
GLOBAL,TZAXX,2047,89.7,89.7,10.3
GLOBAL,TZAXX,2048,89.7,89.7,10.3
GLOBAL,TZAXX,2049,89.7,89.7,10.3
GLOBAL,TZAXX,2050,89.7,89.7,10.3
