TECH,COUNTRY,YEAR,VALUE
BIO,KEN,2021,0.09
BIO,KEN,2022,0.09
BIO,KEN,2023,0.09
BIO,KEN,2024,0.09
BIO,KEN,2025,0.09
BIO,KEN,2026,0.09
BIO,KEN,2027,0.09
BIO,KEN,2028,0.09
BIO,KEN,2029,0.09
BIO,KEN,2030,0.09
BIO,KEN,2031,0.09
BIO,TZA,2021,0.07
BIO,TZA,2022,0.07
BIO,TZA,2023,0.07
BIO,TZA,2024,0.07
BIO,TZA,2025,0.07
BIO,TZA,2026,0.07
BIO,TZA,2027,0.07
BIO,TZA,2028,0.07
BIO,TZA,2029,0.07
BIO,TZA,2030,0.07
BIO,TZA,2031,0.07
CCG,KEN,2023,0.0058924565696763
CCG,KEN,2024,0.0170571935917495
CCG,KEN,2025,0.0292629433051314
CCG,KEN,2026,0.0458752416370831
CCG,KEN,2027,0.0624875399690345
CCG,KEN,2028,0.0790998383009857
CCG,KEN,2029,0.0938797547131027
CCG,KEN,2030,0.0938797547131027
CCG,KEN,2031,0.0938797547131027
CCG,KEN,2032,0.0938797547131027
CCG,KEN,2033,0.0938797547131027
CCG,KEN,2034,0.4434424795695192
CCG,KEN,2035,0.581802213069472
CCG,KEN,2036,0.742186557208192
CCG,KEN,2037,0.9022885345438512
CCG,KEN,2038,1.0626728786825712
CCG,KEN,2039,1.22277485601823
CCG,KEN,2040,1.3831592001569508
CCG,KEN,2041,1.5822277963150446
CCG,KEN,2042,1.78129639247314
CCG,KEN,2043,1.980082621828174
CCG,KEN,2044,2.179151217986268
CCG,KEN,2045,2.518219814144364
CCG,KEN,2046,3.0468320680504
CCG,KEN,2047,3.2967266887594966
CCG,KEN,2048,3.6140739426655344
CCG,KEN,2049,3.8636861965715714
CCG,KEN,2050,4.113580817280668
CCG,TZA,2021,0.6305620646071176
CCG,TZA,2022,0.8111494104697428
CCG,TZA,2023,0.986190217411724
CCG,TZA,2024,1.064024852301815
CCG,TZA,2025,1.0102438415250414
CCG,TZA,2026,1.1028573395981758
CCG,TZA,2027,1.1953226560743933
CCG,TZA,2028,1.2879361541475278
CCG,TZA,2029,1.3805496522206624
CCG,TZA,2030,1.473163150293797
CCG,TZA,2031,1.5850402559661436
CCG,TZA,2032,1.7670655432354074
CCG,TZA,2033,1.8790908305046703
CCG,TZA,2034,1.9909679361770167
CCG,TZA,2035,2.1029932234462807
CCG,TZA,2036,2.236060297477761
CCG,TZA,2037,2.36912737150924
CCG,TZA,2038,2.502046263943804
CCG,TZA,2039,2.635113337975283
CCG,TZA,2040,2.768180412006763
CCG,TZA,2041,2.925401086335716
CCG,TZA,2042,3.082769942261585
CCG,TZA,2043,3.2399906165905383
CCG,TZA,2044,3.397211290919492
CCG,TZA,2045,3.5544319652484444
CCG,TZA,2046,3.7495871283881534
CCG,TZA,2047,3.944742291527864
CCG,TZA,2048,4.139897454667572
CCG,TZA,2049,4.335052617807278
CCG,TZA,2050,4.530207780946988
GEO,KEN,2021,0.754
GEO,KEN,2022,0.754
GEO,KEN,2023,0.754
GEO,KEN,2024,0.754
GEO,KEN,2025,0.754
GEO,KEN,2026,0.754
GEO,KEN,2027,0.754
GEO,KEN,2028,0.754
GEO,KEN,2029,0.754
GEO,KEN,2030,0.754
GEO,KEN,2031,0.754
GEO,KEN,2032,0.754
GEO,KEN,2033,0.754
GEO,KEN,2034,0.419
GEO,KEN,2035,0.419
GEO,KEN,2036,0.419
GEO,KEN,2037,0.419
GEO,KEN,2038,0.419
GEO,KEN,2039,0.419
GEO,KEN,2040,0.419
GEO,KEN,2041,0.419
GEO,KEN,2042,0.419
GEO,KEN,2043,0.419
GEO,KEN,2044,0.419
GEO,KEN,2045,0.279
HYD,KEN,2021,0.9831123121696372
HYD,KEN,2022,1.2149649017332724
HYD,KEN,2023,1.4445462634970656
HYD,KEN,2024,1.683929289920099
HYD,KEN,2025,1.912611603556496
HYD,KEN,2026,2.223853346716576
HYD,KEN,2027,2.5350950898766555
HYD,KEN,2028,2.846336833036735
HYD,KEN,2029,3.1583091906173784
HYD,KEN,2030,3.469550933777459
HYD,KEN,2031,3.8282826142741695
HYD,KEN,2032,4.0200000000000005
HYD,KEN,2033,4.0200000000000005
HYD,KEN,2034,4.0200000000000005
HYD,KEN,2035,4.0200000000000005
HYD,KEN,2036,4.0200000000000005
