YEAR,VALUE
2021,261.29920069673943
2022,51.8950256492662
2023,44.16476714597112
2024,37.70713536727858
2025,35.24037495393835
2026,33.21079530871029
2027,30.411292583924226
2028,24.31704793056727
2029,20.94345166623948
2030,17.99154048128815
2031,17.270327047034705
2032,16.948020910001734
2033,13.839082639758889
2034,16.01656547949021
2035,9.30366233290812
2036,8.59098262054003
2037,7.353210940140882
2038,6.3063843145598
2039,5.4162478808701024
2040,4.703345163403251
2041,4.399531115209397
2042,3.8032782785778223
2043,3.2807306585615335
2044,2.7759328010622606
2045,2.548791839067202
2046,2.447871023897336
2047,1.8518090890909387
2048,1.5657214051698833
2049,1.2766713406728105
2050,1.0475784962077366
