REGION,COUNTRY,YEAR,VALUE
GLOBAL,KEN,2021,448.93237874964944
GLOBAL,KEN,2022,538.9916025480359
GLOBAL,KEN,2023,496.3962899094747
GLOBAL,KEN,2024,502.18868163031914
GLOBAL,KEN,2025,527.3114455858811
GLOBAL,KEN,2026,527.7615620888369
GLOBAL,KEN,2027,570.43742197419
GLOBAL,KEN,2028,448.2421480147299
GLOBAL,KEN,2029,412.54437560167105
GLOBAL,KEN,2030,395.218929766709
GLOBAL,KEN,2031,382.75010543576747
GLOBAL,KEN,2032,454.397686236671
GLOBAL,KEN,2033,348.12256982189916
GLOBAL,KEN,2034,609.0736875521471
GLOBAL,KEN,2035,254.8237281807208
GLOBAL,KEN,2036,238.3303598784926
GLOBAL,KEN,2037,215.47948747493743
GLOBAL,KEN,2038,195.0107766793746
GLOBAL,KEN,2039,176.03601843221432
GLOBAL,KEN,2040,163.05796564259572
GLOBAL,KEN,2041,160.79562705741913
GLOBAL,KEN,2042,148.89245854799753
GLOBAL,KEN,2043,137.2444436681941
GLOBAL,KEN,2044,120.48810580354653
GLOBAL,KEN,2045,128.2242266989325
GLOBAL,KEN,2046,136.9116320598556
GLOBAL,KEN,2047,97.05956945382519
GLOBAL,KEN,2048,88.81333655801984
GLOBAL,KEN,2049,75.40159795316686
GLOBAL,KEN,2050,64.83957364540385
GLOBAL,TZA,2021,6193.82315967399
GLOBAL,TZA,2022,896.7794229192707
GLOBAL,TZA,2023,824.5203698648509
GLOBAL,TZA,2024,710.2318850831801
GLOBAL,TZA,2025,684.9016555692543
GLOBAL,TZA,2026,711.9872790423071
GLOBAL,TZA,2027,653.8663081763227
GLOBAL,TZA,2028,601.9983181089515
GLOBAL,TZA,2029,553.4420808512182
GLOBAL,TZA,2030,487.35308995280104
GLOBAL,TZA,2031,524.4529783753627
GLOBAL,TZA,2032,494.76445536901065
GLOBAL,TZA,2033,475.05143724246585
GLOBAL,TZA,2034,399.2745517711683
GLOBAL,TZA,2035,363.2307070424113
GLOBAL,TZA,2036,367.4997685618372
GLOBAL,TZA,2037,333.103138108803
GLOBAL,TZA,2038,301.2368532599154
GLOBAL,TZA,2039,272.2934485528184
GLOBAL,TZA,2040,245.48831334067052
GLOBAL,TZA,2041,243.02877936381637
GLOBAL,TZA,2042,218.9452977963163
GLOBAL,TZA,2043,196.203461452162
GLOBAL,TZA,2044,175.32485502396273
GLOBAL,TZA,2045,155.9369646502312
GLOBAL,TZA,2046,151.02416086453363
GLOBAL,TZA,2047,132.13565227619574
GLOBAL,TZA,2048,114.58439910077163
GLOBAL,TZA,2049,98.28336736722244
GLOBAL,TZA,2050,84.11185890742948
