YEAR,VALUE
2021,6642.755538423639
2022,1435.7710254673066
2023,1320.9166597743256
2024,1212.4205667134993
2025,1212.2131011551355
2026,1239.748841131144
2027,1224.3037301505128
2028,1050.2404661236815
2029,965.9864564528892
2030,882.5720197195101
2031,907.2030838111302
2032,949.1621416056817
2033,823.174007064365
2034,1008.3482393233155
2035,618.0544352231321
2036,605.8301284403298
2037,548.5826255837404
2038,496.24762993929
2039,448.3294669850327
2040,408.54627898326623
2041,403.8244064212355
2042,367.83775634431385
2043,333.4479051203561
2044,295.81296082750924
2045,284.1611913491637
2046,287.93579292438926
2047,229.19522173002093
2048,203.39773565879148
2049,173.6849653203893
2050,148.95143255283332
