REGION,NODE,YEAR,VALUE
GLOBAL,KENXX,2021,448.93237874964944
GLOBAL,KENXX,2022,538.9916025480359
GLOBAL,KENXX,2023,496.3962899094747
GLOBAL,KENXX,2024,502.18868163031914
GLOBAL,KENXX,2025,527.3114455858811
GLOBAL,KENXX,2026,527.7615620888369
GLOBAL,KENXX,2027,570.43742197419
GLOBAL,KENXX,2028,448.2421480147299
GLOBAL,KENXX,2029,412.54437560167105
GLOBAL,KENXX,2030,395.218929766709
GLOBAL,KENXX,2031,382.75010543576747
GLOBAL,KENXX,2032,454.397686236671
GLOBAL,KENXX,2033,348.12256982189916
GLOBAL,KENXX,2034,609.0736875521471
GLOBAL,KENXX,2035,254.8237281807208
GLOBAL,KENXX,2036,238.3303598784926
GLOBAL,KENXX,2037,215.47948747493743
GLOBAL,KENXX,2038,195.0107766793746
GLOBAL,KENXX,2039,176.03601843221432
GLOBAL,KENXX,2040,163.05796564259572
GLOBAL,KENXX,2041,160.79562705741913
GLOBAL,KENXX,2042,148.89245854799753
GLOBAL,KENXX,2043,137.2444436681941
GLOBAL,KENXX,2044,120.48810580354653
GLOBAL,KENXX,2045,128.2242266989325
GLOBAL,KENXX,2046,136.9116320598556
GLOBAL,KENXX,2047,97.05956945382519
GLOBAL,KENXX,2048,88.81333655801984
GLOBAL,KENXX,2049,75.40159795316686
GLOBAL,KENXX,2050,64.83957364540385
GLOBAL,TZAXX,2021,6193.82315967399
GLOBAL,TZAXX,2022,896.7794229192707
GLOBAL,TZAXX,2023,824.5203698648509
GLOBAL,TZAXX,2024,710.2318850831801
GLOBAL,TZAXX,2025,684.9016555692543
GLOBAL,TZAXX,2026,711.9872790423071
GLOBAL,TZAXX,2027,653.8663081763227
GLOBAL,TZAXX,2028,601.9983181089515
GLOBAL,TZAXX,2029,553.4420808512182
GLOBAL,TZAXX,2030,487.35308995280104
GLOBAL,TZAXX,2031,524.4529783753627
GLOBAL,TZAXX,2032,494.76445536901065
GLOBAL,TZAXX,2033,475.05143724246585
GLOBAL,TZAXX,2034,399.2745517711683
GLOBAL,TZAXX,2035,363.2307070424113
GLOBAL,TZAXX,2036,367.4997685618372
GLOBAL,TZAXX,2037,333.103138108803
GLOBAL,TZAXX,2038,301.2368532599154
GLOBAL,TZAXX,2039,272.2934485528184
GLOBAL,TZAXX,2040,245.48831334067052
GLOBAL,TZAXX,2041,243.02877936381637
GLOBAL,TZAXX,2042,218.9452977963163
GLOBAL,TZAXX,2043,196.203461452162
GLOBAL,TZAXX,2044,175.32485502396273
GLOBAL,TZAXX,2045,155.9369646502312
GLOBAL,TZAXX,2046,151.02416086453363
GLOBAL,TZAXX,2047,132.13565227619574
GLOBAL,TZAXX,2048,114.58439910077163
GLOBAL,TZAXX,2049,98.28336736722244
GLOBAL,TZAXX,2050,84.11185890742948
