REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGKENXX01,2023,0.005892456569676305
GLOBAL,PWRCCGKENXX01,2024,0.017057193591749543
GLOBAL,PWRCCGKENXX01,2025,0.029262943305131447
GLOBAL,PWRCCGKENXX01,2026,0.04587524163708313
GLOBAL,PWRCCGKENXX01,2027,0.06248753996903458
GLOBAL,PWRCCGKENXX01,2028,0.07909983830098577
GLOBAL,PWRCCGKENXX01,2029,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2030,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2031,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2032,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2033,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2034,0.4434424795695193
GLOBAL,PWRCCGKENXX01,2035,0.581802213069472
GLOBAL,PWRCCGKENXX01,2036,0.742186557208192
GLOBAL,PWRCCGKENXX01,2037,0.9022885345438512
GLOBAL,PWRCCGKENXX01,2038,1.0626728786825712
GLOBAL,PWRCCGKENXX01,2039,1.22277485601823
GLOBAL,PWRCCGKENXX01,2040,1.3831592001569508
GLOBAL,PWRCCGKENXX01,2041,1.5822277963150446
GLOBAL,PWRCCGKENXX01,2042,1.7812963924731402
GLOBAL,PWRCCGKENXX01,2043,1.9800826218281742
GLOBAL,PWRCCGKENXX01,2044,2.179151217986268
GLOBAL,PWRCCGKENXX01,2045,2.518219814144364
GLOBAL,PWRCCGKENXX01,2046,3.0468320680504
GLOBAL,PWRCCGKENXX01,2047,3.296726688759497
GLOBAL,PWRCCGKENXX01,2048,3.6140739426655344
GLOBAL,PWRCCGKENXX01,2049,3.863686196571571
GLOBAL,PWRCCGKENXX01,2050,4.113580817280668
GLOBAL,PWRCCGTZAXX01,2021,0.4225620646071176
GLOBAL,PWRCCGTZAXX01,2022,0.6031494104697429
GLOBAL,PWRCCGTZAXX01,2023,0.7781902174117241
GLOBAL,PWRCCGTZAXX01,2024,0.8560248523018151
GLOBAL,PWRCCGTZAXX01,2025,1.0102438415250414
GLOBAL,PWRCCGTZAXX01,2026,1.1028573395981758
GLOBAL,PWRCCGTZAXX01,2027,1.1953226560743933
GLOBAL,PWRCCGTZAXX01,2028,1.2879361541475278
GLOBAL,PWRCCGTZAXX01,2029,1.3805496522206624
GLOBAL,PWRCCGTZAXX01,2030,1.473163150293797
GLOBAL,PWRCCGTZAXX01,2031,1.5850402559661436
GLOBAL,PWRCCGTZAXX01,2032,1.7670655432354074
GLOBAL,PWRCCGTZAXX01,2033,1.8790908305046705
GLOBAL,PWRCCGTZAXX01,2034,1.990967936177017
GLOBAL,PWRCCGTZAXX01,2035,2.1029932234462807
GLOBAL,PWRCCGTZAXX01,2036,2.236060297477761
GLOBAL,PWRCCGTZAXX01,2037,2.36912737150924
GLOBAL,PWRCCGTZAXX01,2038,2.5020462639438037
GLOBAL,PWRCCGTZAXX01,2039,2.635113337975283
GLOBAL,PWRCCGTZAXX01,2040,2.768180412006763
GLOBAL,PWRCCGTZAXX01,2041,2.925401086335716
GLOBAL,PWRCCGTZAXX01,2042,3.0827699422615855
GLOBAL,PWRCCGTZAXX01,2043,3.2399906165905383
GLOBAL,PWRCCGTZAXX01,2044,3.397211290919492
GLOBAL,PWRCCGTZAXX01,2045,3.554431965248445
GLOBAL,PWRCCGTZAXX01,2046,3.7495871283881543
GLOBAL,PWRCCGTZAXX01,2047,3.944742291527863
GLOBAL,PWRCCGTZAXX01,2048,4.139897454667572
GLOBAL,PWRCCGTZAXX01,2049,4.335052617807279
GLOBAL,PWRCCGTZAXX01,2050,4.530207780946989
GLOBAL,PWRHYDKENXX01,2021,0.1633123121696372
GLOBAL,PWRHYDKENXX01,2022,0.3951649017332724
GLOBAL,PWRHYDKENXX01,2023,0.6247462634970656
GLOBAL,PWRHYDKENXX01,2024,0.8641292899200992
GLOBAL,PWRHYDKENXX01,2025,1.0928116035564963
GLOBAL,PWRHYDKENXX01,2026,1.4040533467165761
GLOBAL,PWRHYDKENXX01,2027,1.7152950898766557
GLOBAL,PWRHYDKENXX01,2028,2.0265368330367357
GLOBAL,PWRHYDKENXX01,2029,2.338509190617379
GLOBAL,PWRHYDKENXX01,2030,2.649750933777459
GLOBAL,PWRHYDKENXX01,2031,3.00848261427417
