REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2023,0.0020993301070916263
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2024,0.006077037586314746
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2025,0.01042563100400628
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2026,0.01634416389837261
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2027,0.02226269679273885
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2028,0.028181229687104997
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2029,0.033446932223451256
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2030,0.033446932223451256
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2031,0.033446932223451256
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2032,0.033446932223451256
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2034,0.24481319199926738
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2035,0.3460294657031586
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2036,0.5174518657031583
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2037,0.6885724657031583
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2038,0.8599948657031582
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2039,1.0311154657031583
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2040,1.2025378657031585
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2041,1.415306865703158
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2042,1.6280758657031582
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2043,1.8405430657031587
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2044,2.0533120657031585
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2045,2.4141172686023586
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2046,2.9759234729514783
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2047,3.243016472951478
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2048,3.5838814981567215
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2049,3.850672698156721
GLOBAL,PWRCCGKENXX01,CO2KEN,2,2050,4.117765698156721
GLOBAL,PWRCCGTZAXX00,CO2TZA,2,2021,0.18224579722752
GLOBAL,PWRCCGTZAXX00,CO2TZA,2,2022,0.13458523991514718
GLOBAL,PWRCCGTZAXX00,CO2TZA,2,2023,0.04252821864058167
GLOBAL,PWRCCGTZAXX00,CO2TZA,2,2024,0.035766083045847614
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2021,0.29988937393350334
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2022,0.4280509639745028
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2023,0.5522762137149213
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2024,0.607514915630188
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2025,0.6861454118616772
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2026,0.7492304536651815
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2027,0.8122178349758566
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2028,0.8756713504372335
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2029,0.93912486589861
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2030,1.027542357663009
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2031,1.110087007166297
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2032,1.3037681395055796
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2033,1.3168036302486492
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2034,1.3952033416939398
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2035,1.4737068938166424
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2036,1.5669558221317028
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2037,1.6602047504467643
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2038,1.7533498380844148
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2039,1.8465987663994752
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2040,1.9398476947145369
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2041,2.0500226534475883
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2042,2.1603014528580493
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2043,2.2704764115911003
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2044,2.3806513703241508
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2045,2.4908263290572012
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2046,2.6275845012074637
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2047,2.764342673357725
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2048,2.9011008455079876
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2049,3.0378590176582474
GLOBAL,PWRCCGTZAXX01,CO2TZA,2,2050,3.1746171898085103
GLOBAL,PWROCGKENXX01,CO2KEN,2,2029,0.0009523676471579628
GLOBAL,PWROCGKENXX01,CO2KEN,2,2030,0.00940657417718223
GLOBAL,PWROCGKENXX01,CO2KEN,2,2031,0.019150741797468306
GLOBAL,PWROCGTZAXX00,CO2TZA,2,2021,0.055641308102432584
