REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,131.75753279264615
GLOBAL,MINGASINT,2022,137.8399751458954
GLOBAL,MINGASINT,2023,146.22706065463478
GLOBAL,MINGASINT,2024,159.07624665397503
GLOBAL,MINGASINT,2025,170.63913300578432
GLOBAL,MINGASINT,2026,187.54295104608576
GLOBAL,MINGASINT,2027,204.42284517798475
GLOBAL,MINGASINT,2028,221.41692827618488
GLOBAL,MINGASINT,2029,238.48440060478353
GLOBAL,MINGASINT,2030,262.21518019526667
GLOBAL,MINGASINT,2031,284.82330617850994
GLOBAL,MINGASINT,2032,327.57781538459477
GLOBAL,MINGASINT,2033,322.5776209129991
GLOBAL,MINGASINT,2034,401.7551437011471
GLOBAL,MINGASINT,2035,445.78114159051665
GLOBAL,MINGASINT,2036,510.6177242445558
GLOBAL,MINGASINT,2037,575.3803748985953
GLOBAL,MINGASINT,2038,640.1915196833097
GLOBAL,MINGASINT,2039,704.9541703373488
GLOBAL,MINGASINT,2040,769.7907529913884
GLOBAL,MINGASINT,2041,848.9023923454373
GLOBAL,MINGASINT,2042,928.039469568811
GLOBAL,MINGASINT,2043,1007.0771769228598
GLOBAL,MINGASINT,2044,1086.1888162769087
GLOBAL,MINGASINT,2045,1201.5649107427653
GLOBAL,MINGASINT,2046,1372.6923510454567
GLOBAL,MINGASINT,2047,1471.6238449467596
GLOBAL,MINGASINT,2048,1588.6272850623568
GLOBAL,MINGASINT,2049,1687.4848469636588
GLOBAL,MINGASINT,2050,1786.416340864962
