REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,0.05058876460485704
GLOBAL,MINGASINT,2022,0.0527038287241069
GLOBAL,MINGASINT,2023,0.05578827105109471
GLOBAL,MINGASINT,2024,0.060325037929197606
GLOBAL,MINGASINT,2025,0.06371809957266741
GLOBAL,MINGASINT,2026,0.06955941812313614
GLOBAL,MINGASINT,2027,0.07539139056392413
GLOBAL,MINGASINT,2028,0.08123270911439287
GLOBAL,MINGASINT,2029,0.08707402766486162
GLOBAL,MINGASINT,2030,0.09291534621533037
GLOBAL,MINGASINT,2031,0.09997165902429661
GLOBAL,MINGASINT,2032,0.11145235794294364
GLOBAL,MINGASINT,2033,0.11851801686159058
GLOBAL,MINGASINT,2034,0.15354313374196554
GLOBAL,MINGASINT,2035,0.16933541777192157
GLOBAL,MINGASINT,2036,0.18784398561875243
GLOBAL,MINGASINT,2037,0.20633474402658056
GLOBAL,MINGASINT,2038,0.22483396576373071
GLOBAL,MINGASINT,2039,0.24332472417155887
GLOBAL,MINGASINT,2040,0.2618332920183898
GLOBAL,MINGASINT,2041,0.28430516888654883
GLOBAL,MINGASINT,2042,0.3067863918643886
GLOBAL,MINGASINT,2043,0.3292404592935451
GLOBAL,MINGASINT,2044,0.35171233616170416
GLOBAL,MINGASINT,2045,0.3830142930298633
GLOBAL,MINGASINT,2046,0.4286637515577725
GLOBAL,MINGASINT,2047,0.45673393152468433
GLOBAL,MINGASINT,2048,0.48905848397259366
GLOBAL,MINGASINT,2049,0.5171108545005028
GLOBAL,MINGASINT,2050,0.5451810344674148
GLOBAL,PWRCCGKENXX01,2023,4.124719598773414
GLOBAL,PWRCCGKENXX01,2024,7.815315915451267
GLOBAL,PWRCCGKENXX01,2025,8.544024799367334
GLOBAL,PWRCCGKENXX01,2026,11.62860883236618
GLOBAL,PWRCCGKENXX01,2027,11.628608832366018
GLOBAL,PWRCCGKENXX01,2028,11.628608832365831
GLOBAL,PWRCCGKENXX01,2029,10.34594148848185
GLOBAL,PWRCCGKENXX01,2034,244.6939073994916
GLOBAL,PWRCCGKENXX01,2035,96.85181344996688
GLOBAL,PWRCCGKENXX01,2036,112.26904089710403
GLOBAL,PWRCCGKENXX01,2037,112.07138413496142
