REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,0.05058876460485704
GLOBAL,MINGASINT,2022,0.04791257156736991
GLOBAL,MINGASINT,2023,0.04610600913313612
GLOBAL,MINGASINT,2024,0.04532309386115521
GLOBAL,MINGASINT,2025,0.043520319358423196
GLOBAL,MINGASINT,2026,0.04319092593224265
GLOBAL,MINGASINT,2027,0.042556474523837505
GLOBAL,MINGASINT,2028,0.04168522414792421
GLOBAL,MINGASINT,2029,0.04062067653024442
GLOBAL,MINGASINT,2030,0.039405177040176466
GLOBAL,MINGASINT,2031,0.03854340226995481
GLOBAL,MINGASINT,2032,0.03906337154181823
GLOBAL,MINGASINT,2033,0.03776349262601843
GLOBAL,MINGASINT,2034,0.04447597659819373
GLOBAL,MINGASINT,2035,0.04459130796032413
GLOBAL,MINGASINT,2036,0.04496835667894479
GLOBAL,MINGASINT,2037,0.04490445202598623
GLOBAL,MINGASINT,2038,0.04448220151402959
GLOBAL,MINGASINT,2039,0.043764090444489756
GLOBAL,MINGASINT,2040,0.04281183550943031
GLOBAL,MINGASINT,2041,0.04226015176931345
GLOBAL,MINGASINT,2042,0.04145622028650844
GLOBAL,MINGASINT,2043,0.04044586476175856
GLOBAL,MINGASINT,2044,0.039278585776050215
GLOBAL,MINGASINT,2045,0.03888575514040111
GLOBAL,MINGASINT,2046,0.039563948832349594
GLOBAL,MINGASINT,2047,0.03832246737400504
GLOBAL,MINGASINT,2048,0.0373042487150514
GLOBAL,MINGASINT,2049,0.03585819871098303
GLOBAL,MINGASINT,2050,0.0343678900098179
GLOBAL,PWRCCGKENXX01,2023,3.408859172540011
GLOBAL,PWRCCGKENXX01,2024,5.871762521000199
GLOBAL,PWRCCGKENXX01,2025,5.835683900940736
GLOBAL,PWRCCGKENXX01,2026,7.2204511815301835
GLOBAL,PWRCCGKENXX01,2027,6.564046528663711
GLOBAL,PWRCCGKENXX01,2028,5.967315026057823
GLOBAL,PWRCCGKENXX01,2029,4.826458059594854
GLOBAL,PWRCCGKENXX01,2034,70.87910891222023
