REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,125.67646713369227
GLOBAL,MINGASINT,2022,119.52542130261601
GLOBAL,MINGASINT,2023,115.27092573602597
GLOBAL,MINGASINT,2024,113.99968073636263
GLOBAL,MINGASINT,2025,111.16846368546598
GLOBAL,MINGASINT,2026,111.07335385516596
GLOBAL,MINGASINT,2027,110.06390785014798
GLOBAL,MINGASINT,2028,108.3759107189705
GLOBAL,MINGASINT,2029,106.1178464180286
GLOBAL,MINGASINT,2030,106.06905358813309
GLOBAL,MINGASINT,2031,104.7399049152329
GLOBAL,MINGASINT,2032,109.50994178571358
GLOBAL,MINGASINT,2033,98.03767196583854
GLOBAL,MINGASINT,2034,111.0028786533621
GLOBAL,MINGASINT,2035,111.96975990835205
GLOBAL,MINGASINT,2036,116.59416000813184
GLOBAL,MINGASINT,2037,119.43704531569477
GLOBAL,MINGASINT,2038,120.80860377180655
GLOBAL,MINGASINT,2039,120.93538722991603
GLOBAL,MINGASINT,2040,120.05222975573771
GLOBAL,MINGASINT,2041,120.35391814049886
GLOBAL,MINGASINT,2042,119.61186563108448
GLOBAL,MINGASINT,2043,117.99842884589253
GLOBAL,MINGASINT,2044,115.6976907265173
GLOBAL,MINGASINT,2045,116.35140190670269
GLOBAL,MINGASINT,2046,120.83756346113933
GLOBAL,MINGASINT,2047,117.76927544972229
GLOBAL,MINGASINT,2048,115.57485998186894
GLOBAL,MINGASINT,2049,111.60609496176274
GLOBAL,MINGASINT,2050,107.4082043082176
GLOBAL,PWRBIOKENXX01,2021,6.435872477407748
GLOBAL,PWRBIOKENXX01,2022,5.8507931612797694
GLOBAL,PWRBIOKENXX01,2023,5.3189028738907
GLOBAL,PWRBIOKENXX01,2024,4.835366248991544
GLOBAL,PWRBIOKENXX01,2025,4.395787499083222
GLOBAL,PWRBIOKENXX01,2026,3.9961704537120197
GLOBAL,PWRBIOKENXX01,2027,3.632882230647291
GLOBAL,PWRBIOKENXX01,2028,3.302620209679355
GLOBAL,PWRBIOKENXX01,2029,3.002382008799413
