REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,131.75753279264617
GLOBAL,MINGASINT,2022,137.83997514589544
GLOBAL,MINGASINT,2023,146.22706065463478
GLOBAL,MINGASINT,2024,159.07624665397506
GLOBAL,MINGASINT,2025,170.63913300578434
GLOBAL,MINGASINT,2026,187.54295104608576
GLOBAL,MINGASINT,2027,204.42284517798475
GLOBAL,MINGASINT,2028,221.41692827618488
GLOBAL,MINGASINT,2029,238.4844006047836
GLOBAL,MINGASINT,2030,262.2151801952668
GLOBAL,MINGASINT,2031,284.82330617850994
GLOBAL,MINGASINT,2032,327.5778153845948
GLOBAL,MINGASINT,2033,322.5776209129992
GLOBAL,MINGASINT,2034,401.7551437011472
GLOBAL,MINGASINT,2035,445.78114159051665
GLOBAL,MINGASINT,2036,510.6177242445559
GLOBAL,MINGASINT,2037,575.3803748985953
GLOBAL,MINGASINT,2038,640.1915196833097
GLOBAL,MINGASINT,2039,704.954170337349
GLOBAL,MINGASINT,2040,769.7907529913884
GLOBAL,MINGASINT,2041,848.9023923454374
GLOBAL,MINGASINT,2042,928.0394695688112
GLOBAL,MINGASINT,2043,1007.07717692286
GLOBAL,MINGASINT,2044,1086.1888162769087
GLOBAL,MINGASINT,2045,1201.5649107427653
GLOBAL,MINGASINT,2046,1372.6923510454571
GLOBAL,MINGASINT,2047,1471.6238449467594
GLOBAL,MINGASINT,2048,1588.627285062357
GLOBAL,MINGASINT,2049,1687.484846963659
GLOBAL,MINGASINT,2050,1786.416340864962
GLOBAL,PWRBIOKENXX01,2021,6.751418978087999
GLOBAL,PWRBIOKENXX01,2022,6.751418978087999
GLOBAL,PWRBIOKENXX01,2023,6.751418978088
GLOBAL,PWRBIOKENXX01,2024,6.751418978088
GLOBAL,PWRBIOKENXX01,2025,6.751418978088
GLOBAL,PWRBIOKENXX01,2026,6.751418978088
GLOBAL,PWRBIOKENXX01,2027,6.751418978088
GLOBAL,PWRBIOKENXX01,2028,6.751418978088
GLOBAL,PWRBIOKENXX01,2029,6.751418978088
GLOBAL,PWRBIOKENXX01,2030,6.751418978088
GLOBAL,PWRBIOKENXX01,2031,6.706418978087999
GLOBAL,PWRBIOTZAXX01,2021,5.251103649624
GLOBAL,PWRBIOTZAXX01,2022,5.251103649624
GLOBAL,PWRBIOTZAXX01,2023,5.251103649624
GLOBAL,PWRBIOTZAXX01,2024,5.251103649624
GLOBAL,PWRBIOTZAXX01,2025,5.251103649624
GLOBAL,PWRBIOTZAXX01,2026,5.251103649624
GLOBAL,PWRBIOTZAXX01,2027,5.251103649624
GLOBAL,PWRBIOTZAXX01,2028,5.251103649624
GLOBAL,PWRBIOTZAXX01,2029,5.251103649624
GLOBAL,PWRBIOTZAXX01,2030,5.251103649624
GLOBAL,PWRBIOTZAXX01,2031,5.216103649624
GLOBAL,PWRCCGKENXX01,2023,0.14733228233442344
GLOBAL,PWRCCGKENXX01,2024,0.4264902477220319
GLOBAL,PWRCCGKENXX01,2025,0.7316772171313082
GLOBAL,PWRCCGKENXX01,2026,1.1470435077650345
GLOBAL,PWRCCGKENXX01,2027,1.5624097983987548
GLOBAL,PWRCCGKENXX01,2028,1.9777760890324685
GLOBAL,PWRCCGKENXX01,2029,2.34732634230295
GLOBAL,PWRCCGKENXX01,2030,2.34732634230295
GLOBAL,PWRCCGKENXX01,2031,2.34732634230295
GLOBAL,PWRCCGKENXX01,2032,2.34732634230295
GLOBAL,PWRCCGKENXX01,2033,2.3469938678275675
GLOBAL,PWRCCGKENXX01,2034,11.088495519973565
GLOBAL,PWRCCGKENXX01,2035,14.54849498345353
GLOBAL,PWRCCGKENXX01,2036,18.559807586921533
GLOBAL,PWRCCGKENXX01,2037,22.564058020313013
GLOBAL,PWRCCGKENXX01,2038,26.57537062378101
GLOBAL,PWRCCGKENXX01,2039,30.579621057172485
GLOBAL,PWRCCGKENXX01,2040,34.5909336606405
GLOBAL,PWRCCGKENXX01,2041,39.56976356459285
GLOBAL,PWRCCGKENXX01,2042,44.54859346854524
GLOBAL,PWRCCGKENXX01,2043,49.52036120242108
GLOBAL,PWRCCGKENXX01,2044,54.49919110637344
GLOBAL,PWRCCGKENXX01,2045,62.97949254315784
GLOBAL,PWRCCGKENXX01,2046,76.20038344552394
