REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,1,ELCKENXX01,2022,2.661465468290084
GLOBAL,S1D1,PWRBIOKENXX01,1,ELCKENXX01,2023,2.83824
GLOBAL,S1D1,PWRBIOKENXX01,1,ELCKENXX01,2025,1.430773357664235
GLOBAL,S1D1,PWRBIOKENXX01,1,ELCKENXX01,2027,2.83824
GLOBAL,S1D1,PWRBIOKENXX01,1,ELCKENXX01,2028,2.83824
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2021,21.015456685148195
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2022,18.034785419444532
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2023,17.562668914673353
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2024,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2025,18.426170517391963
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2026,20.05785474151979
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2027,16.278617220567494
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2028,15.90857389332314
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2029,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2030,18.00585859252634
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2031,17.579353255256464
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2032,23.778144
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2033,12.700445282878835
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2034,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2035,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2036,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2037,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2038,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2039,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2040,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2041,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2042,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2043,1.15859983795622
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2044,13.213584
GLOBAL,S1D1,PWRGEOKENXX01,1,ELCKENXX01,2045,8.798544
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2021,14.673923360586109
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2022,18.134552515663927
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2023,21.561281350039053
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2024,21.48499589082628
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2025,28.547619373434305
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2026,33.193210145934124
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2027,37.838800918433954
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2028,42.484391690933776
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2029,43.065340280319695
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2030,51.786478378591895
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2031,57.140903423890975
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2032,51.05459649743759
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2033,58.80930858536259
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2034,45.99067692895185
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2035,44.93457259693865
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2036,44.52506495332216
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2037,44.116278273867
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2038,55.76175479229432
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2039,43.29798395079536
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2040,42.888476307178905
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2041,40.53906975438015
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2042,41.87191683975077
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2043,53.4193422322417
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2044,39.43466659579774
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2045,40.97256736838233
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2046,39.73918312789688
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2047,39.10112984514912
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2048,38.84951408618864
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2049,38.21218176760241
GLOBAL,S1D1,PWRHYDKENXX01,1,ELCKENXX01,2050,37.41849069890404
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2021,44.07668698212676
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2022,48.1315076214612
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2023,33.0885592830989
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2024,35.59580419961497
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2025,38.0979634266452
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2026,41.25447418803964
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2027,44.40534648616688
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2028,47.56893988201573
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2029,50.73253327786456
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2030,54.420546086722425
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2031,58.36595729235672
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2032,62.31659420819715
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2033,64.80475227395378
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2034,68.66309057273426
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2035,72.5265392533674
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2036,77.11566215708243
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2037,81.70478506079749
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2038,86.28879758265987
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2039,90.87792048637493
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2040,95.46704339008996
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2041,100.88915853579338
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2042,106.31638406334946
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2043,111.73849920905288
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2044,117.16061435475628
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2045,122.58272950045968
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2046,129.3131024004516
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2047,136.04347530044348
GLOBAL,S1D1,PWRHYDTZAXX01,1,ELCTZAXX01,2048,142.7738482004354
