REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D3,1.1358452554883076
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S1D2,2.4369357054631657
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D1,7.3235396649243345
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S2D2,7.3235396649243345
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S3D3,7.323539664924336
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S3D1,7.323539664924336
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2021,S3D2,7.323539664924336
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D3,6.802829989419588
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D1,8.410230879796664
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S1D2,8.410230879796664
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S2D2,8.410230879796663
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S3D1,0.12108917933278603
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2022,S3D2,8.410230879796663
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D3,4.668542251094894
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S1D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2023,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S1D3,2.0143289939560254
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S1D2,2.3596163753870445
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2024,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S1D1,4.521243810218983
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S1D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S3D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2025,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S1D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S2D1,4.4125407088156745
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S3D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S3D2,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S1D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S1D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S2D1,4.556297691184326
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S3D2,8.968838400000001
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S1D3,4.6685422510948875
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S1D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S1D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S2D2,8.9688384
