REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,50.58876460485703
GLOBAL,MINGASINT,2022,52.7038287241069
GLOBAL,MINGASINT,2023,55.78827105109471
GLOBAL,MINGASINT,2024,60.325037929197606
GLOBAL,MINGASINT,2025,63.718099572667406
GLOBAL,MINGASINT,2026,69.55941812313614
GLOBAL,MINGASINT,2027,75.39139056392413
GLOBAL,MINGASINT,2028,81.23270911439286
GLOBAL,MINGASINT,2029,87.07402766486162
GLOBAL,MINGASINT,2030,92.91534621533039
GLOBAL,MINGASINT,2031,99.97165902429661
GLOBAL,MINGASINT,2032,111.45235794294362
GLOBAL,MINGASINT,2033,118.51801686159058
GLOBAL,MINGASINT,2034,153.54313374196553
GLOBAL,MINGASINT,2035,169.33541777192156
GLOBAL,MINGASINT,2036,187.8439856187524
GLOBAL,MINGASINT,2037,206.33474402658055
GLOBAL,MINGASINT,2038,224.83396576373073
GLOBAL,MINGASINT,2039,243.32472417155887
GLOBAL,MINGASINT,2040,261.8332920183898
GLOBAL,MINGASINT,2041,284.3051688865488
GLOBAL,MINGASINT,2042,306.7863918643886
GLOBAL,MINGASINT,2043,329.2404592935451
GLOBAL,MINGASINT,2044,351.7123361617042
GLOBAL,MINGASINT,2045,383.01429302986327
GLOBAL,MINGASINT,2046,428.66375155777246
GLOBAL,MINGASINT,2047,456.7339315246844
GLOBAL,MINGASINT,2048,489.0584839725937
GLOBAL,MINGASINT,2049,517.1108545005028
GLOBAL,MINGASINT,2050,545.1810344674149
GLOBAL,PWRBIOKENXX01,2021,0.09
GLOBAL,PWRBIOKENXX01,2022,0.09
GLOBAL,PWRBIOKENXX01,2023,0.09
GLOBAL,PWRBIOKENXX01,2024,0.09
GLOBAL,PWRBIOKENXX01,2025,0.09
GLOBAL,PWRBIOKENXX01,2026,0.09
GLOBAL,PWRBIOKENXX01,2027,0.09
GLOBAL,PWRBIOKENXX01,2028,0.09
GLOBAL,PWRBIOKENXX01,2029,0.09
GLOBAL,PWRBIOKENXX01,2030,0.09
GLOBAL,PWRBIOKENXX01,2031,0.09
GLOBAL,PWRBIOTZAXX01,2021,0.07
GLOBAL,PWRBIOTZAXX01,2022,0.07
GLOBAL,PWRBIOTZAXX01,2023,0.07
GLOBAL,PWRBIOTZAXX01,2024,0.07
GLOBAL,PWRBIOTZAXX01,2025,0.07
GLOBAL,PWRBIOTZAXX01,2026,0.07
GLOBAL,PWRBIOTZAXX01,2027,0.07
GLOBAL,PWRBIOTZAXX01,2028,0.07
GLOBAL,PWRBIOTZAXX01,2029,0.07
GLOBAL,PWRBIOTZAXX01,2030,0.07
GLOBAL,PWRBIOTZAXX01,2031,0.07
GLOBAL,PWRCCGKENXX01,2023,0.005892456569676305
GLOBAL,PWRCCGKENXX01,2024,0.017057193591749543
GLOBAL,PWRCCGKENXX01,2025,0.029262943305131447
GLOBAL,PWRCCGKENXX01,2026,0.045875241637083126
GLOBAL,PWRCCGKENXX01,2027,0.062487539969034576
GLOBAL,PWRCCGKENXX01,2028,0.07909983830098577
GLOBAL,PWRCCGKENXX01,2029,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2030,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2031,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2032,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2033,0.0938797547131027
GLOBAL,PWRCCGKENXX01,2034,0.44344247956951927
GLOBAL,PWRCCGKENXX01,2035,0.581802213069472
GLOBAL,PWRCCGKENXX01,2036,0.742186557208192
GLOBAL,PWRCCGKENXX01,2037,0.9022885345438512
GLOBAL,PWRCCGKENXX01,2038,1.0626728786825712
GLOBAL,PWRCCGKENXX01,2039,1.22277485601823
GLOBAL,PWRCCGKENXX01,2040,1.3831592001569508
GLOBAL,PWRCCGKENXX01,2041,1.5822277963150446
GLOBAL,PWRCCGKENXX01,2042,1.78129639247314
GLOBAL,PWRCCGKENXX01,2043,1.980082621828174
GLOBAL,PWRCCGKENXX01,2044,2.179151217986268
GLOBAL,PWRCCGKENXX01,2045,2.518219814144364
GLOBAL,PWRCCGKENXX01,2046,3.0468320680504
GLOBAL,PWRCCGKENXX01,2047,3.2967266887594966
GLOBAL,PWRCCGKENXX01,2048,3.6140739426655344
GLOBAL,PWRCCGKENXX01,2049,3.8636861965715714
GLOBAL,PWRCCGKENXX01,2050,4.113580817280668
GLOBAL,PWRCCGTZAXX00,2021,0.208
GLOBAL,PWRCCGTZAXX00,2022,0.208
GLOBAL,PWRCCGTZAXX00,2023,0.208
GLOBAL,PWRCCGTZAXX00,2024,0.208
GLOBAL,PWRCCGTZAXX01,2021,0.4225620646071176
GLOBAL,PWRCCGTZAXX01,2022,0.6031494104697428
GLOBAL,PWRCCGTZAXX01,2023,0.778190217411724
GLOBAL,PWRCCGTZAXX01,2024,0.856024852301815
GLOBAL,PWRCCGTZAXX01,2025,1.0102438415250414
GLOBAL,PWRCCGTZAXX01,2026,1.1028573395981758
GLOBAL,PWRCCGTZAXX01,2027,1.1953226560743933
GLOBAL,PWRCCGTZAXX01,2028,1.2879361541475278
GLOBAL,PWRCCGTZAXX01,2029,1.3805496522206624
GLOBAL,PWRCCGTZAXX01,2030,1.473163150293797
GLOBAL,PWRCCGTZAXX01,2031,1.5850402559661436
GLOBAL,PWRCCGTZAXX01,2032,1.7670655432354074
GLOBAL,PWRCCGTZAXX01,2033,1.8790908305046703
GLOBAL,PWRCCGTZAXX01,2034,1.9909679361770167
GLOBAL,PWRCCGTZAXX01,2035,2.1029932234462807
GLOBAL,PWRCCGTZAXX01,2036,2.236060297477761
GLOBAL,PWRCCGTZAXX01,2037,2.36912737150924
GLOBAL,PWRCCGTZAXX01,2038,2.502046263943804
GLOBAL,PWRCCGTZAXX01,2039,2.635113337975283
GLOBAL,PWRCCGTZAXX01,2040,2.768180412006763
GLOBAL,PWRCCGTZAXX01,2041,2.925401086335716
GLOBAL,PWRCCGTZAXX01,2042,3.082769942261585
GLOBAL,PWRCCGTZAXX01,2043,3.2399906165905383
GLOBAL,PWRCCGTZAXX01,2044,3.397211290919492
GLOBAL,PWRCCGTZAXX01,2045,3.5544319652484444
GLOBAL,PWRCCGTZAXX01,2046,3.7495871283881534
GLOBAL,PWRCCGTZAXX01,2047,3.9447422915278634
GLOBAL,PWRCCGTZAXX01,2048,4.139897454667572
GLOBAL,PWRCCGTZAXX01,2049,4.335052617807278
GLOBAL,PWRCCGTZAXX01,2050,4.530207780946988
GLOBAL,PWRGEOKENXX01,2021,0.754
