REGION,YEAR,VALUE
GLOBAL,2021,6768.578309905563
GLOBAL,2022,1555.4411108569352
GLOBAL,2023,1436.3293901672882
GLOBAL,2024,1326.55824282276
GLOBAL,2025,1323.5152682674297
GLOBAL,2026,1350.953508793763
GLOBAL,2027,1334.495882639979
GLOBAL,2028,1158.7410274784431
GLOBAL,2029,1072.224958701926
GLOBAL,2030,988.7570677604006
GLOBAL,2031,1012.0555712373035
GLOBAL,2032,1058.776192073836
GLOBAL,2033,921.3129729570616
GLOBAL,2034,1119.4508541410123
GLOBAL,2035,730.1209383479589
GLOBAL,2036,722.517374463991
GLOBAL,2037,668.1089627072623
GLOBAL,2038,617.1416507270033
GLOBAL,2039,569.3463640288686
GLOBAL,2040,528.6761176449827
GLOBAL,2041,524.2527032958457
GLOBAL,2042,487.52071872407504
GLOBAL,2043,451.51412731561516
GLOBAL,2044,411.57515578840304
GLOBAL,2045,400.57378269052293
GLOBAL,2046,408.83182558099503
GLOBAL,2047,347.02034042938755
GLOBAL,2048,319.02575751406584
GLOBAL,2049,285.34161116039303
GLOBAL,2050,256.4076226289806
