REGION,TECHNOLOGY,VALUE
GLOBAL,MINGASINT,1608.6422056659783
GLOBAL,PWRBIOKENXX01,15.608758968
GLOBAL,PWRBIOTZAXX01,12.140145864
GLOBAL,PWRCCGKENXX01,320.4006757055245
GLOBAL,PWRCCGTZAXX00,3.1813634366271852
GLOBAL,PWRCCGTZAXX01,479.1448515982178
GLOBAL,PWRGEOKENXX01,416.8957622544
GLOBAL,PWRHYDKENXX01,1386.410465775986
GLOBAL,PWRHYDTZAXX01,2812.255589105964
GLOBAL,PWROCGKENXX01,0.20535618386783927
GLOBAL,PWROCGTZAXX00,0.39658808341006835
GLOBAL,PWRSPVKENXX01,1039.7859677179395
GLOBAL,PWRSPVTZAXX01,1434.8014619117807
GLOBAL,PWRTRNKENXX,3228.7983
GLOBAL,PWRTRNTZAXX,4741.92
GLOBAL,PWRWONKENXX01,49.49131339428249
GLOBAL,RNWBIOKENXX,49.32367833888
GLOBAL,RNWBIOTZAXX,40.42668572712001
GLOBAL,RNWGEOKENXX,416.8957622544
GLOBAL,RNWHYDKENXX,1386.410465775986
GLOBAL,RNWHYDTZAXX,2812.255589105964
GLOBAL,RNWSPVKENXX,1039.7859677179395
GLOBAL,RNWSPVTZAXX,1434.8014619117807
GLOBAL,RNWWONKENXX,49.49131339428249
