REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2022,0.9217613044257145
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2023,0.98298468864
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2025,0.49552832160000054
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2027,0.98298468864
GLOBAL,S1D1,PWRBIOKENXX01,BIOKENXX,2028,0.98298468864
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2021,2.3032940526922423
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2022,1.9766124819711208
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2023,1.9248685130481995
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2024,2.6060845824000003
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2025,2.019508288706159
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2026,2.1983408796705692
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2027,1.7841364473741974
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2028,1.7435796987082162
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2029,2.6060845824000003
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2030,1.973442101740887
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2031,1.9266971167761084
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2032,2.6060845824000003
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2033,1.3919688030035204
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2034,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2035,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2036,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2037,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2038,0.12698254224000172
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2039,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2040,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2041,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2042,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2043,0.12698254224000172
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2044,1.4482088064
GLOBAL,S1D1,PWRGEOKENXX01,GEOKENXX,2045,0.9643204224
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2021,1.6082620003202375
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2022,1.9875469557167664
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2023,2.3631164359642804
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2024,2.3547555496345605
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2025,3.1288190833283998
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2026,3.63797583199438
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2027,4.147132580660362
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2028,4.656289329326342
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2029,4.7199612947230385
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2030,5.675798030293672
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2031,6.262643015258451
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2032,5.5955837761191605
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2033,6.44550022095574
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2034,5.040578191413123
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2035,4.924829156624476
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2036,4.879947118884108
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2037,4.835144098815824
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2038,6.111488325235458
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2039,4.745459041007172
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2040,4.700577003266808
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2041,4.4430820450800645
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2042,4.589162085636684
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2043,5.854759908653691
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2044,4.322039458899432
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2045,4.490593383574703
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2046,4.355414470817498
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2047,4.285483831028343
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2048,4.257906743846275
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2049,4.188055121729224
GLOBAL,S1D1,PWRHYDKENXX01,HYDKENXX,2050,4.101066580599882
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2021,4.830804893241093
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2022,5.275213235312148
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2023,3.6265060974276397
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2024,3.9013001402778005
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2025,4.175536791560314
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2026,4.521490371009144
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2027,4.86682597488389
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2028,5.2135558110689235
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2029,5.560285647253956
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2030,5.9644918511047775
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2031,6.396908919242296
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2032,6.829898725218408
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2033,7.102600849225334
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2034,7.525474726771676
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2035,7.948908702169067
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2036,8.451876572416234
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2037,8.954844442663406
GLOBAL,S1D1,PWRHYDTZAXX01,HYDTZAXX,2038,9.457252215059523
